ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44849 6 45104 8 45359 9 45614 12 45868 15 46124 15 46380 15 46637 13 46895 9 47151 8 47408 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50024 7 50279 9 50534 10 50789 12 51044 13 51299 15 51554 17 51809 18 52064 19 52320 19 52576 18 52832 17 53088 16 53345 14 53602 13 53860 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 5 11148 7 11403 9 11658 10 11913 11 12167 13 12422 14 12678 13 12933 13 13188 13 13444 12 13700 12 13958 8 14215 5 14471 5 14728 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31389 1 31629 11 31643 7 31884 13 31898 9 32140 13 32154 9 32396 13 32410 9 32652 13 32666 9 32904 19 33160 19 33415 19 33671 18 33927 17 34183 17 34440 14 34696 13 34952 12 35209 10 35468 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 5 51096 7 51351 9 51607 9 51861 11 52116 12 52371 13 52627 12 52882 12 53136 13 53392 12 53648 11 53905 9 54161 7 54418 6 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 1 38820 6 39075 8 39330 9 39584 11 39839 12 40094 13 40351 12 40607 11 40863 11 41119 10 41375 9 41632 7 41888 5 42144 4 42401 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46711 1 47230 2 47749 3 48268 4 48787 5 49306 6 49825 7 50344 7 50364 1 50863 7 50879 9 51382 8 51397 11 51901 9 51915 13 52420 10 52434 13 52939 11 52953 15 53458 12 53471 17 53977 30 54496 30 55015 31 55534 31 56053 31 56572 31 57091 33 57610 34 58129 34 58648 34 59167 34 59686 34 60205 34 60724 34 61243 34 61762 34 62281 34 62800 34 63319 34 63838 34 64357 33 64876 33 65395 33 65914 33 66433 31 66952 32 67471 33 67990 34 68509 35 69028 35 69547 36 70066 37 70585 38 71104 39 71623 40 72144 39 72664 39 73184 38 73704 38 74227 34 74747 33 75266 34 75778 3 75785 36 75828 7 76296 4 76304 37 76344 12 76814 6 76823 38 76862 13 77333 7 77341 39 77381 14 77853 46 77900 15 78372 63 78891 64 79410 64 79929 64 80449 63 80968 63 81488 63 82008 62 82528 61 83047 61 83567 60 84086 60 84606 59 85126 58 85646 57 86165 57 86684 56 87204 55 87723 55 88243 53 88762 52 89282 50 89802 49 90321 49 90840 49 91359 49 91878 49 92397 50 92916 52 93435 52 93954 52 94473 53 94993 52 95512 53 96031 53 96551 58 97072 59 97591 60 98111 59 98630 59 99149 59 99669 59 100189 58 100708 60 101228 60 101747 61 102267 61 102786 62 103306 62 103826 61 104347 59 104868 57 105388 55 105909 52 106429 52 106950 50 107471 49 107991 48 108510 49 109031 49 109551 49 110071 49 110590 49 111110 50 111630 51 112150 50 112669 51 113189 54 113708 57 114228 57 114747 58 115268 57 115788 57 116307 57 116827 57 117346 58 117866 58 118386 57 118906 56 119425 57 119944 57 120464 56 120983 57 121504 56 122024 57 122543 58 123063 58 123582 59 124101 60 124620 61 125140 61 125662 59 125727 12 126184 58 126246 14 126704 75 127224 75 127744 75 128265 75 128785 74 129305 73 129825 72 130344 72 130864 71
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89269 1 89788 1 90307 2 90826 2 91345 2 91864 2 92383 1 92902 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117814 2 118333 3 118852 3 119371 5 119890 6 120409 6 120928 6 121447 7 121966 7 122485 7 123004 7 123523 7 124042 8 124561 9 125080 9 125599 8 126118 8 126637 8 127156 8 127675 7 128194 7 128713 6 129232 6 129751 5 130270 3 130789 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24421 3 24938 6 25456 8 25971 14 26486 19 27004 20 27522 22 28040 24 28557 27 29076 27 29595 27 30113 28 30632 28 31151 28 31670 28 32189 27 32708 26 33227 25 33746 25 34265 25 34784 24 35303 24 35823 22 36342 18 36862 14 37382 12 37902 10 38423 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117844 7 118362 10 118880 12 119398 14 119917 15 120435 17 120954 18 121473 19 121992 20 122511 20 123030 20 123549 20 124067 21 124586 21 125105 21 125625 20 126144 20 126663 20 127182 19 127701 18 128220 17 128739 17 129259 15 129778 15 130298 13 130819 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6281 1 6798 5 7315 9 7833 11 7862 1 8351 13 8380 3 8869 15 8898 5 9387 17 9415 9 9905 19 9933 11 10424 20 10451 13 10943 20 10969 14 11462 20 11487 16 11981 21 12003 20 12499 44 13018 44 13537 44 14056 44 14575 45 15094 26 15121 18 15613 25 15640 18 16132 24 16160 17 16651 23 16679 17 17170 22 17199 16 17689 21 17719 16 18208 21 18240 15 18727 20 18759 16 19246 20 19278 16 19766 18 19798 15 20285 16 20317 15 20804 16 20836 15 21323 15 21356 14 21843 13 21876 13 22364 9 22396 11 22883 8 22915 10 23403 7 23435 8 23955 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28605 14 29123 16 29641 17 30158 20 30675 22 31193 24 31711 25 32230 24 32749 24 33267 25 33786 25 34304 25 34821 27 35340 27 35859 26 36378 23 36897 21 37416 20 37935 20 38454 18 38973 17 39492 16 40012 14 40535 8
