ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45105 1 45360 6 45614 11 45868 15 46124 15 46380 15 46637 12 46895 9 47151 8 47408 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50024 6 50280 7 50535 8 50789 11 51044 12 51299 14 51555 14 51810 16 52065 17 52320 19 52576 18 52833 16 53089 15 53346 13 53603 12 53865 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,11147 8 11402 9 11657 10 11912 11 12167 12 12422 13 12677 14 12932 15 13188 14 13444 13 13701 11 13958 9 14215 6 14472 4 14728 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31629 9 31884 11 32140 11 32396 11 32652 11 32907 14 33162 15 33417 16 33672 17 33928 17 34184 16 34440 14 34696 12 34952 12 35208 11 35469 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,51096 7 51352 7 51607 8 51861 10 52116 11 52372 11 52627 12 52882 12 53137 12 53392 12 53648 11 53904 10 54160 9 54416 8 54673 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31645 2 31900 5 32156 5 32412 5 32668 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38820 6 39075 8 39330 9 39584 11 39838 13 40093 14 40349 14 40604 15 40860 14 41116 13 41373 11 41630 10 41887 8 42144 6 42400 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47230 2 47749 5 48268 5 48787 6 49306 6 49825 6 50344 6 50863 7 51383 6 51902 6 52422 4 52942 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117295 1 117814 3 118333 5 118852 5 119371 6 119890 6 120409 6 120928 6 121447 6 121966 6 122485 6 123004 7 123523 7 124042 7 124561 7 125080 7 125599 7 126118 7 126637 7 127156 7 127675 7 128195 5 128714 5 129234 4 129755 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24937 6 25455 8 25972 13 26486 20 27004 22 27523 22 28040 25 28557 27 29076 27 29595 27 30113 28 30632 28 31151 28 31670 28 32189 27 32708 25 33227 24 33746 24 34265 23 34784 21 35303 21 35823 20 36342 19 36861 19 37381 17 37901 15 38423 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50881 7 51398 13 51916 15 52435 15 52954 15 53473 16 53991 17 54511 16 55031 16 55552 15 56072 15 56591 15 57110 15 57629 15 58148 15 58667 15 59187 14 59706 14 60225 14 60745 13 61265 12 61784 12 62304 10 62823 10 63342 10 63860 10 64379 10 64898 10 65417 10 65936 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,92399 3 92917 7 93436 10 93955 11 94474 12 94993 13 95512 14 96031 14 96550 14 97070 13 97589 13 98109 13 98629 12 99148 13 99668 12 100187 13 100706 14 101225 15 101745 15 102265 14 102785 14 103304 15 103824 15 104343 14 104862 8 105381 8 105900 7 106420 6 106942 2 107462 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117849 3 118368 4 118886 6 119405 7 119917 4 119924 8 120436 5 120442 9 120955 5 120961 10 121474 4 121480 11 121993 4 121999 12 122512 4 122519 12 123031 4 123038 12 123550 4 123557 12 124069 4 124076 12 124588 4 124595 12 125107 5 125114 12 125626 19 126145 18 126664 17 127183 16 127702 15 128221 15 128740 15 129259 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,68022 4 68540 6 69059 7 69578 7 70098 6 70617 6 71136 7 71655 8 72175 9 72694 9 73214 9 73733 9 74253 8 74772 9 75292 8 75813 5 76333 3
