ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44852 2 45108 3 45363 5 45616 9 45869 13 46124 15 46381 13 46638 11 46895 9 47151 8 47408 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50024 7 50279 8 50535 9 50789 12 51043 15 51298 17 51554 17 51809 18 52064 19 52320 19 52576 18 52832 17 53088 16 53344 16 53601 14 53860 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 1 11148 7 11403 8 11659 8 11913 10 12168 11 12423 13 12678 13 12933 14 13188 15 13444 14 13700 13 13958 9 14215 7 14471 6 14728 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31389 2 31628 13 31642 9 31883 24 32139 24 32395 24 32651 24 32903 21 33159 20 33415 19 33671 18 33927 18 34183 17 34439 16 34695 14 34951 13 35208 11 35466 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,51096 7 51351 8 51607 8 51861 10 52116 11 52372 11 52627 12 52882 13 53136 15 53392 15 53648 14 53905 11 54162 9 54419 6 54676 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 1 38819 7 39074 9 39329 10 39584 11 39839 12 40094 13 40350 13 40606 13 40862 12 41117 12 41374 10 41631 9 41887 8 42144 7 42401 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47230 2 47749 3 48268 3 48787 4 49306 5 49825 5 50344 6 50863 6 50879 8 51382 6 51397 11 51901 6 51915 13 52420 7 52434 13 52939 9 52953 14 53458 11 53471 17 53977 12 53990 17 54496 30 55015 30 55534 30 56053 31 56572 31 57091 31 57610 31 58129 32 58648 32 59167 32 59686 32 60205 32 60724 32 61243 32 61762 32 62281 33 62800 32 63319 32 63838 32 64357 32 64876 32 65395 32 65914 32 66437 3 66456 6 66955 9 66974 8 67474 13 67490 12 67992 30 68511 31 69030 32 69549 32 70068 33 70587 34 71106 35 71626 35 72145 37 72664 38 73183 39 73702 39 74221 40 74740 4 74750 30 75259 5 75269 31 75777 6 75789 31 75827 8 76296 6 76308 32 76345 11 76815 7 76827 33 76863 12 77335 6 77346 34 77381 14 77854 6 77865 49 78373 6 78383 51 78892 7 78902 52 79412 62 79932 61 80452 60 80971 60 81491 59 82010 59 82529 59 83048 59 83567 59 84087 58 84607 57 85127 56 85646 56 86165 56 86685 55 87204 55 87724 54 88243 53 88763 51 89283 49 89802 49 90321 49 90841 48 91360 48 91879 48 92398 49 92917 50 93436 25 93462 25 93956 50 94476 50 94996 51 95515 53 96034 55 96554 55 97073 57 97592 58 98112 58 98632 57 99152 56 99671 57 100191 56 100710 57 101229 58 101748 59 102267 60 102786 61 103306 61 103825 62 104345 61 104865 60 105385 59 105905 59 106426 57 106952 50 107473 48 107993 48 108513 48 109033 48 109554 47 110074 47 110593 48 111113 49 111632 51 112152 51 112671 52 113190 53 113709 55 114229 54 114749 54 115269 55 115788 56 116308 55 116827 56 117347 56 117867 57 118387 56 118906 56 119425 56 119945 55 120464 55 120984 55 121504 56 122024 56 122544 56 123063 56 123583 56 124103 57 124623 56 125143 5 125149 50 125668 52 125733 4 126188 52 126246 14 126707 53 126765 14 127227 52 127284 15 127746 53 127803 16 128265 74 128785 74 129305 73 129824 73 130344 20 130367 49 130863 16 130888 47
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117814 1 118333 2 118852 2 119371 3 119890 5 120409 6 120928 6 121447 6 121966 6 122485 6 123004 6 123523 7 124042 7 124561 7 125080 7 125599 7 126118 8 126637 8 127156 7 127675 7 128194 7 128713 6 129232 6 129751 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24941 1 25458 4 25971 13 26487 17 27005 18 27523 20 28041 21 28558 24 29076 26 29595 27 30114 27 30633 27 31151 28 31670 28 32189 27 32708 26 33227 26 33746 25 34265 24 34784 23 35303 22 35823 20 36343 17 36863 14 37383 12 37903 10 38423 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118365 6 118883 8 119399 13 119917 15 120436 15 120954 17 121473 17 121992 17 122511 18 123030 18 123549 19 124068 19 124587 19 125106 19 125625 18 126144 17 126663 17 127182 17 127701 16 128220 16 128740 15 129259 14 129779 11 130301 7 130821 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7316 8 7833 11 8351 13 8870 14 8900 1 9387 17 9416 7 9905 19 9933 11 10424 20 10451 12 10943 20 10969 14 11461 21 11488 15 11980 22 12005 18 12499 22 12523 20 13018 22 13041 21 13537 25 13564 17 14056 24 14083 17 14575 24 14603 16 15094 23 15122 17 15613 22 15642 16 16132 22 16161 16 16651 21 16680 16 17170 21 17200 15 17689 21 17720 15 18208 21 18240 15 18727 20 18759 15 19246 20 19279 15 19765 19 19798 15 20285 17 20317 15 20804 16 20837 14 21323 15 21357 13 21844 12 21877 12 22364 10 22396 11 22883 9 22916 10 23403 7 23435 8 23957 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28091 5 28605 13 29123 15 29641 17 30157 20 30674 23 31192 24 31711 24 32230 24 32749 24 33267 25 33786 25 34305 25 34823 26 35341 26 35860 26 36378 25 36897 24 37416 23 37935 23 38454 21 38973 20 39492 19 40012 17 40534 12 41055 7 41575 5 42096 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46784 14 47301 19 47819 20 48338 21 48855 23 49373 24 49892 24 50411 24 50929 25 51448 25 51967 25 52487 24 53006 23 53525 22 54044 21 54564 19 55086 13
