ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 8 45359 11 45614 12 45869 14 46124 15 46380 14 46636 14 46893 11 47150 9 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,27992 1 28248 2 28504 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50533 11 50788 13 51043 15 51298 16 51553 17 51809 17 52064 18 52320 18 52576 17 52832 17 53089 15 53345 14 53602 12 53859 9 54120 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 7 11401 10 11656 12 11911 13 12166 14 12422 14 12677 14 12933 14 13189 13 13444 13 13701 12 13957 11 14214 8 14471 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31631 7 31885 11 32139 14 32394 16 32649 17 32904 19 33159 20 33415 19 33671 19 33927 18 34183 17 34439 16 34695 15 34952 13 35209 10 35466 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51097 6 51351 9 51606 10 51860 12 52115 13 52371 13 52626 13 52882 12 53137 13 53392 13 53648 12 53904 11 54160 10 54417 7 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31388 5 31644 6 31900 6 32156 6 32412 6 32669 5 32924 5 33183 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 4 38820 5 39075 7 39328 11 39582 13 39838 13 40093 14 40349 13 40605 13 40862 12 41118 11 41374 10 41631 8 41888 6 42145 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,28623 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46711 1 47230 2 47749 3 48268 4 48787 5 49306 6 49825 6 50344 7 50362 5 50863 8 50880 7 51382 8 51398 9 51901 9 51916 11 51929 1 52420 9 52435 14 52939 10 52953 15 53458 11 53471 16 53977 29 54496 29 55015 30 55534 30 56053 32 56572 32 57091 32 57610 33 58129 33 58648 34 59167 34 59686 34 60205 34 60724 35 61243 35 61762 35 62281 35 62800 35 63319 34 63838 34 64357 33 64876 33 65395 34 65914 34 66465 2 66983 4 67502 4 68021 4 68540 5 69059 6 69578 7 70096 9 70615 9 71134 10 71654 10 72173 11 72692 12 73212 11 73715 3 73731 12 74234 4 74251 12 74752 7 74770 13 75270 9 75290 13 75308 6 75788 11 75810 25 76307 12 76330 26 76825 13 76850 26 77344 14 77370 26 77863 14 77890 25 78382 15 78410 25 78901 16 78930 24 79419 18 79451 22 79938 19 79971 22 80457 21 80492 20 80975 23 81013 18 81493 24 81534 17 82008 29 82054 16 82527 30 82574 15 83046 31 83094 14 83566 30 83614 13 84085 31 84133 14 84605 31 84653 13 85124 31 85172 13 85644 31 85692 12 86163 32 86211 12 86683 32 86730 12 87202 33 87249 12 87721 33 87768 12 88240 34 88288 11 88760 34 88807 10 89279 34 89326 10 89799 33 89845 10 90318 34 90364 10 90837 34 90883 10 91357 34 91402 10 91876 35 91922 9 92395 35 92441 10 92915 35 92960 11 93434 35 93480 10 93954 35 93999 12 94473 35 94519 12 94993 35 95038 14 95512 35 95558 14 96031 36 96077 15 96551 36 96597 15 97070 36 97116 16 97590 36 97636 15 98110 36 98155 16 98629 36 98675 16 99149 36 99195 15 99668 37 99715 15 100187 38 100235 15 100707 38 100755 15 101226 39 101274 16 101745 40 101794 15 102264 41 102314 15 102784 41 102833 15 103303 41 103353 15 103822 42 103873 15 104342 42 104393 15 104862 42 104913 14 105381 43 105432 15 105901 43 105952 15 106422 41 106472 14 106942 41 106992 14 107462 41 107511 16 107981 41 108031 16 108500 1 108505 37 108551 16 109026 36 109071 16 109547 35 109591 16 110067 34 110111 17 110587 34 110631 17 111107 34 111151 17 111627 34 111671 17 112147 33 112191 18 112668 32 112710 19 113188 32 113230 20 113707 33 113751 19 114227 33 114271 19 114747 33 114791 18 115267 34 115311 18 115787 34 115830 18 116307 34 116350 17 116826 36 116870 16 117346 35 117390 15 117866 36 117910 15 118385 37 118430 14 118905 36 118949 15 119425 37 119469 14 119944 38 119989 14 120464 39 120508 14 120984 38 121028 14 121503 39 121547 15 122023 39 122066 16 122543 39 122586 16 123063 38 123105 16 123582 39 123625 16 124102 39 124144 17 124621 60 125141 60 125216 3 125661 60 125730 11 126182 64 126247 14 126702 79 127222 79 127742 78 128262 78 128782 77 129302 76 129821 77 130341 12 130359 57 130860 10 130885 43
