ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 8 45359 10 45614 12 45869 13 46125 14 46381 13 46637 12 46893 11 47150 9 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,27992 1 28248 2 28504 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50533 11 50788 13 51043 15 51298 16 51553 17 51809 17 52065 17 52320 17 52576 17 52832 16 53089 15 53345 14 53602 12 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10894 3 11147 7 11401 10 11656 11 11911 12 12167 12 12422 13 12678 13 12933 14 13189 13 13445 12 13701 12 13957 11 14214 8 14472 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31634 3 31885 11 32139 14 32394 15 32649 17 32904 18 33160 18 33415 19 33671 18 33927 18 34183 17 34439 16 34696 13 34952 12 35209 10 35466 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 3 51097 6 51351 8 51605 11 51860 12 52116 12 52371 13 52626 13 52882 12 53137 12 53393 12 53648 11 53904 10 54161 8 54417 7 54675 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31389 4 31644 5 31900 5 32156 6 32412 6 32669 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 4 38819 6 39074 8 39328 10 39582 12 39838 12 40093 13 40349 13 40605 13 40862 11 41118 11 41375 9 41631 8 41888 6 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46711 1 47230 2 47749 3 48268 4 48787 4 49306 5 49825 6 49844 3 50344 6 50361 7 50863 7 50879 9 51382 7 51397 11 51901 8 51916 12 52420 9 52435 12 52448 1 52939 9 52953 15 53458 11 53472 15 53977 11 53991 15 54496 29 55015 30 55534 30 56053 31 56572 32 57091 32 57610 32 58129 33 58648 33 59167 34 59686 34 60205 35 60724 35 61243 35 61762 35 62281 35 62800 35 63319 35 63838 34 64357 34 64876 33 65395 33 65914 33 66433 30 66952 31 67471 32 67990 33 68509 35 69028 36 69547 37 70066 37 70585 2 70588 35 71109 34 71631 32 72150 33 72670 33 73189 34 73708 34 74227 35 74747 35 75267 35 75308 5 75788 34 75825 9 76294 1 76308 48 76813 5 76826 50 77332 6 77343 52 77851 6 77862 53 78370 7 78380 54 78889 7 78897 57 79409 64 79929 63 80449 62 80968 63 81488 62 82008 61 82527 61 83047 60 83567 59 84086 60 84606 59 85125 59 85645 58 86165 57 86684 57 87204 56 87723 55 88243 54 88762 54 89281 14 89296 38 89800 13 89815 37 90320 13 90334 37 90839 13 90853 37 91358 12 91372 37 91877 13 91892 35 92396 12 92411 36 92915 12 92929 38 93435 52 93954 53 94473 55 94993 58 95512 60 96032 60 96551 60 97071 4 97076 55 97591 1 97594 57 98113 57 98632 58 99151 59 99669 60 100188 61 100707 62 101226 63 101745 5 101751 58 102265 4 102270 58 102784 4 102790 58 103303 4 103310 58 103823 4 103829 58 104344 2 104348 59 104863 2 104867 59 105382 2 105386 60 105911 55 106432 53 106951 53 107470 52 107989 50 108040 1 108509 51 109030 50 109549 51 110070 50 110590 50 111110 50 111630 50 112150 51 112670 51 113189 52 113709 52 114229 54 114748 54 115268 53 115788 53 116308 53 116827 54 116882 3 117347 57 117866 57 118386 57 118906 57 119425 57 119945 57 120465 57 120984 57 121504 57 122024 57 122543 58 123063 57 123582 58 124102 58 124621 59 125141 59 125661 9 125671 49 126182 7 126190 50 126249 10 126702 5 126709 52 126766 14 127222 5 127228 53 127282 18 127742 3 127748 72 128262 2 128268 71 128787 71 129307 70 129827 70 130346 70 130864 69
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,90307 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116776 1 117295 1 117814 2 118333 3 118852 4 119371 4 119890 5 120409 5 120928 6 121447 6 121966 6 122485 6 123004 7 123523 7 124042 7 124561 7 125080 8 125599 8 126118 8 126637 8 127156 8 127675 7 128194 7 128713 7 129232 6 129751 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24941 1 25455 9 25972 13 26490 15 27005 20 27523 22 28040 25 28558 26 29077 26 29595 27 30113 28 30632 28 31151 28 31670 27 32189 27 32707 28 33226 27 33745 26 34265 24 34784 23 35303 19 35823 18 36343 14 36359 1 36862 12 37382 10 37903 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117842 1 117844 9 118361 1 118363 11 118880 14 119399 15 119917 16 120435 18 120954 18 121473 18 121992 19 122510 20 123029 20 123548 20 124067 20 124586 20 125105 20 125624 20 126143 20 126662 19 127182 18 127701 18 128222 16 128741 16 129260 15 129779 1 129781 12 130298 1 130300 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,106943 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6797 5 7314 10 7833 11 8351 14 8869 16 9388 16 9906 18 10425 19 10944 19 11462 20 11981 21 12500 21 13019 21 13538 21 14057 21 14576 21 15095 21 15614 21 16133 21 16652 20 17171 20 17690 19 18209 19 18728 18 19247 18 19767 16 20286 15 20805 14 21324 13 21843 13 22363 11 22883 9 23403 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29124 14 29640 19 30158 21 30676 22 31193 24 31712 25 32230 25 32749 25 33267 26 33785 26 34304 26 34823 25 35341 25 35860 23 36379 21 36898 20 37417 19 37936 18 38455 17 38974 16 39493 16 40012 14 40532 11 41054 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46783 13 47301 19 47818 22 48336 24 48855 25 49373 26 49892 26 50410 27 50929 27 51448 27 51967 26 52486 25 53005 25 53524 23 54045 19 54565 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8380 3 8897 7 9415 9 9933 10 10451 12 10970 13 11488 15 12007 15 12526 16 13045 16 13564 16 14083 17 14602 17 15121 17 15641 17 16161 16 16681 15 17201 15 17721 14 18241 13 18760 13 19280 12 19800 12 20319 12 20838 12 21357 12 21876 12 22396 11 22915 11 23435 9 23955 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63411 4 63928 9 64446 11 64963 14 65481 16 65999 17 66518 18 67036 19 67555 20 68073 21 68592 22 69110 23 69629 23 70148 23 70667 23 71186 23 71705 23 72224 23 72743 22 73263 21 73783 21 74302 20 74821 20 75340 20 75860 18 76379 17 76899 16 77418 15 77937 15 78457 13 78976 12 79496 10 80016 8 80536 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,85 9 604 9 1124 8 1643 8 2163 6 2683 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113769 1 114287 3 114806 3 115326 2 115846 1
