ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45105 7 45359 10 45614 12 45869 13 46125 13 46381 13 46637 12 46893 11 47150 9 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50534 10 50788 13 51043 14 51298 15 51553 17 51809 16 52065 16 52320 17 52576 17 52833 15 53089 15 53345 14 53602 12 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10894 2 11147 7 11401 10 11656 11 11911 12 12166 13 12422 13 12677 14 12933 14 13189 13 13445 12 13701 11 13957 10 14214 8 14472 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31631 6 31884 12 32139 14 32394 16 32649 17 32904 18 33160 18 33416 18 33671 18 33927 18 34183 17 34439 16 34696 14 34952 12 35209 10 35467 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51097 6 51351 8 51606 10 51860 12 52116 11 52371 12 52626 13 52882 12 53137 13 53393 12 53649 11 53905 10 54161 9 54417 7 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 2 31389 4 31644 5 31900 5 32156 5 32412 5 32669 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 3 38819 6 39074 8 39328 10 39582 12 39838 12 40093 13 40349 13 40605 13 40862 11 41118 11 41375 9 41631 8 41888 7 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46192 1 46711 2 47230 2 47749 3 48268 4 48787 4 49306 5 49825 6 49845 1 50344 6 50361 7 50863 7 50879 9 51382 7 51397 10 51901 8 51916 11 52420 9 52435 12 52939 9 52953 14 53458 10 53472 14 53977 11 53991 15 54496 12 54510 16 55015 30 55534 30 56055 10 56067 17 56574 6 56586 18 57105 18 57625 17 58147 14 58666 15 59185 15 59704 15 60223 16 60742 16 61263 14 61782 14 62301 14 62820 14 63339 14 63858 12 64378 8 64898 7 65418 6 65938 5 66437 26 66957 25 67477 1 67479 2 67484 17 67998 2 68003 19 68523 18 69040 20 69061 2 69561 22 70080 23 70599 25 71118 25 71637 26 72156 27 72673 30 73192 31 73711 31 74230 32 74749 33 75270 32 75309 3 75789 33 75825 9 76308 33 76343 12 76827 48 77346 49 77865 50 78384 50 78903 51 79422 51 79927 2 79937 2 79941 51 80446 3 80456 2 80459 53 80965 4 80975 56 81484 4 81494 56 82007 62 82527 61 83047 60 83566 60 84086 43 84130 1 84133 12 84606 58 85125 58 85645 57 86165 56 86684 56 87203 56 87723 55 88242 29 88273 24 88762 28 88792 24 89281 28 89311 23 89800 28 89830 22 90319 28 90351 20 90838 28 90870 18 91357 28 91387 20 91876 28 91908 19 92395 28 92427 20 92915 27 92946 21 93434 27 93467 19 93954 26 93986 20 94473 26 94505 21 94993 25 95025 20 95512 25 95539 2 95544 20 95567 3 96032 24 96058 2 96063 20 96085 5 96551 24 96577 2 96583 3 96587 23 97071 23 97096 2 97102 3 97106 24 97590 27 97621 29 98110 26 98142 28 98630 27 98663 26 99149 27 99182 27 99669 26 99704 25 100188 26 100222 26 100707 30 100741 27 101226 30 101260 28 101746 30 101781 26 102266 29 102300 26 102789 58 103310 56 103829 57 104349 57 104870 24 104897 28 105390 23 105416 28 105909 24 105937 27 106428 27 106456 24 106481 2 106948 38 106993 6 107000 3 107467 38 107512 6 107991 32 108031 7 108512 30 108550 7 109031 30 109069 11 109551 29 109588 12 110071 28 110103 17 110591 27 110622 18 111110 27 111143 17 111630 26 111662 18 112149 28 112181 20 112669 27 112700 21 113189 31 113221 20 113708 53 114228 23 114253 28 114748 22 114772 29 115267 22 115293 28 115787 21 115812 29 116307 22 116334 27 116827 21 116854 26 117346 21 117373 27 117866 20 117887 1 117891 30 118385 23 118409 34 118905 22 118928 35 119425 57 119944 58 120464 57 120984 57 121503 58 122023 58 122542 59 123062 58 123582 58 124101 59 124621 59 125141 59 125661 32 125697 23 125735 2 126182 30 126216 24 126249 10 126702 29 126736 24 126765 14 127221 4 127229 21 127255 25 127283 16 127749 18 127775 28 127811 8 128269 17 128293 29 128331 7 128789 16 128813 28 128849 9 129308 16 129332 28 129368 9 129827 10 129851 28 129891 5 130347 9 130370 28 130411 4 130866 8 130889 28 130923 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,91345 3 91864 3 92383 4 92902 4 93421 3 93940 3 94459 2 94978 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116776 1 117295 2 117814 2 118333 3 118852 3 119371 4 119890 4 120409 5 120928 5 121447 6 121966 6 122485 6 123004 7 123523 7 124042 7 124561 7 125080 8 125599 8 126118 8 126637 8 127156 8 127675 7 128194 7 128713 7 129232 6 129751 5 130271 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,65396 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,59688 1 60207 4 60726 4 61245 6 61764 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63321 9 63841 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,64879 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,5 11 526 8 1048 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24937 6 25454 9 25971 14 26488 17 27005 20 27522 23 28040 24 28558 26 29076 27 29595 27 30113 28 30632 28 31150 29 31669 28 32188 28 32707 28 33226 27 33745 26 34264 25 34784 22 35303 19 35822 18 36342 15 36862 12 37382 10 37902 8 38424 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117329 3 117845 8 118361 13 118880 14 119397 17 119916 17 120435 18 120954 18 121472 19 121991 20 122510 20 123029 20 123548 20 124066 21 124585 21 125104 21 125623 21 126142 21 126662 20 127181 19 127700 19 128220 18 128739 18 129259 16 129779 15 130300 11 130822 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6797 5 7315 9 7833 11 8351 13 8869 15 9388 16 9906 18 10425 18 10944 19 11462 20 11981 21 12500 21 13019 21 13538 21 14057 21 14576 21 15095 21 15614 21 16133 21 16652 20 17171 20 17690 19 18209 19 18728 18 19247 18 19766 17 20286 15 20805 14 21324 13 21844 12 22363 11 22883 9 23404 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28610 3 29123 15 29639 19 30157 21 30675 23 31193 24 31712 24 32230 25 32748 26 33267 26 33785 26 34304 25 34822 26 35341 25 35860 24 36379 22 36898 21 37417 19 37936 18 38455 17 38974 17 39493 15 40013 13 40533 10 41054 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46783 14 47300 20 47818 22 48336 24 48855 24 49373 26 49891 27 50410 27 50929 27 51447 27 51966 27 52485 26 53005 24 53524 23 54044 20 54565 15
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8380 4 8897 7 9415 9 9933 10 10451 12 10970 13 11488 14 12007 15 12526 15 13045 16 13564 16 14084 15 14603 16 15122 16 15641 16 16161 16 16681 15 17200 15 17720 15 18240 14 18759 14 19279 13 19799 13 20318 13 20837 13 21357 12 21876 12 22396 11 22915 11 23435 9 23955 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63411 4 63928 8 64445 11 64963 13 65481 16 66000 16 66518 18 67036 19 67555 19 68073 21 68592 21 69111 21 69629 22 70148 22 70667 22 71186 22 71706 21 72225 21 72744 21 73263 21 73782 21 74302 20 74821 20 75340 19 75860 18 76379 17 76898 17 77418 15 77937 14 78457 13 78977 11 79496 10 80016 8 80537 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,84 10 604 9 1123 8 1643 7 2163 6 2682 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24002 1 24519 7 25037 9 25555 11 26073 13 26592 14 27110 16 27629 16 28148 17 28668 17 29187 17 29706 18 30225 19 30744 19 31263 20 31783 19 32302 19 32822 19 33341 19 33861 18 34381 17 34900 18 35420 17 35940 16 36459 15 36979 14 37500 11 38021 9 38543 4
