ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45105 8 45359 11 45614 12 45869 14 46125 14 46381 13 46637 13 46893 12 47150 9 47407 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50533 11 50788 13 51043 14 51298 16 51553 17 51809 17 52064 18 52320 18 52576 17 52832 17 53089 15 53345 14 53602 12 53859 9 54117 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 7 11401 10 11656 11 11911 12 12166 13 12422 13 12677 14 12933 14 13189 13 13445 12 13701 12 13957 11 14214 8 14472 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31632 6 31885 11 32139 14 32394 16 32649 17 32904 18 33159 19 33415 19 33671 18 33927 18 34183 17 34439 16 34696 14 34952 12 35209 10 35467 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51097 6 51351 8 51606 10 51860 12 52116 12 52371 13 52626 13 52881 13 53137 13 53393 12 53649 11 53905 10 54161 9 54417 8 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31134 1 31389 4 31644 5 31900 6 32156 6 32412 6 32668 6 32925 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 3 38819 6 39073 9 39328 10 39583 11 39838 12 40093 13 40349 13 40606 12 40862 11 41118 11 41375 9 41631 9 41888 7 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46192 1 46711 2 47230 3 47749 4 48268 4 48787 5 49306 5 49825 6 49844 3 50344 6 50361 7 50863 7 50879 11 51382 8 51397 14 51901 8 51916 14 52420 9 52435 14 52939 9 52953 15 53458 10 53472 16 53977 11 53991 16 54496 30 55015 30 55534 31 56053 31 56572 32 57091 32 57610 32 58129 33 58648 34 59167 34 59686 35 60205 35 60724 35 61243 35 61762 35 62281 35 62800 35 63319 35 63838 32 64357 30 64876 30 65395 31 65914 31 66433 30 66952 30 67471 30 67990 30 68509 32 69028 35 69547 37 70066 37 70585 38 71104 39 71623 40 72142 6 72149 34 72661 4 72669 34 73180 4 73189 33 73699 4 73708 34 74218 5 74227 35 74737 6 74747 35 75256 6 75266 36 75308 6 75775 7 75785 36 75826 9 76294 46 76343 13 76813 47 76861 15 77332 47 77380 16 77851 47 77899 16 78370 47 78419 15 78889 47 78937 17 79409 64 79928 64 80448 63 80968 63 81488 62 82007 62 82527 61 83047 60 83567 60 84086 60 84606 59 85125 59 85645 58 86165 57 86684 57 87204 56 87723 56 88243 55 88762 54 89281 54 89800 53 90319 52 90838 52 91358 51 91877 51 92396 52 92915 53 93435 52 93954 53 94473 53 94993 57 95512 60 96032 60 96551 61 97071 61 97591 60 98112 59 98631 59 99151 59 99672 58 100192 58 100711 59 101230 59 101749 60 102267 61 102785 63 103303 5 103309 59 103823 5 103829 59 104343 4 104348 59 104863 3 104867 59 105382 6 105389 57 105902 4 105910 56 106422 5 106432 53 106943 3 106951 48 107001 3 107462 4 107470 2 107473 45 107520 2 107993 45 108039 3 108513 48 109032 49 109551 50 110070 51 110589 51 111109 51 111629 51 112149 52 112669 53 113188 54 113708 53 114228 53 114748 53 115267 54 115787 54 116307 54 116827 54 117346 58 117866 58 118386 57 118905 58 119425 58 119944 58 120464 58 120984 58 121503 59 122023 58 122543 58 123062 59 123582 58 124101 59 124621 59 125141 59 125661 59 126182 58 126247 12 126701 60 126765 15 127223 3 127228 72 127747 72 128267 72 128787 71 129307 71 129826 71 130345 71 130864 70
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116776 2 117295 2 117814 3 118333 3 118852 4 119371 4 119890 5 120409 5 120928 6 121447 6 121966 6 122485 7 123004 7 123523 7 124042 7 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 7 128713 7 129232 6 129751 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7 8 528 4
