ImageId,EncodedPixels
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,186369 2 186881 3 187393 4 187905 4 188417 8 188929 8 189441 8 189953 9 190465 10 190977 10 191489 10 192001 11 192513 12 193025 12 193537 12 194049 12 194561 12 195073 12 195585 13 196097 13 196609 14 197121 14 197633 13 198145 12 198657 11 199169 10 199681 9 200193 8 200705 4
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,217089 2 217601 2 218113 2 218625 1 219137 1
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,254985 3 255497 4 256007 8 256519 9 257033 8 257545 9 258057 9 258569 9 259079 11 259591 11 260103 11 260614 12 261125 13 261637 14 262149 13 262661 13 263172 15 263684 15 264195 16 264707 16 265217 18 265729 18 266241 16 266753 16 267265 16 267777 16 268289 14 268801 13 269313 12 269825 12 270337 10 270849 9 271361 7 271873 6 272386 3
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,166422 4 166932 10 167443 12 167953 16 168465 16 168975 20 169487 21 169997 24 170509 24 171020 26 171531 28 172043 28 172554 29 173065 30 173577 30 174089 30 174601 29 175113 28 175625 27 176136 27 176648 25 177159 25 177671 24 178183 20 178695 20 179207 18 179718 19 180230 17 180742 17 181254 15 181767 14 182281 11 182793 10 183305 10 183817 10 184331 6 184844 5
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,206881 6 207388 13 207897 16 208407 18 208917 24 209429 24 209940 26 210451 27 210963 28 211475 28 211986 29 212498 30 213009 31 213521 31 214033 31 214545 31 215058 29 215570 29 216082 29 216594 29 217107 26 217619 26 218130 27 218642 27 219154 27 219666 27 220178 26 220690 25 221203 24 221715 23 222228 21 222740 21 223252 19 223765 17 224279 13 224793 8
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,240193 2 240703 11 241213 13 241721 17 242232 18 242741 20 243243 30 243753 31 244262 33 244773 33 245284 33 245793 34 246304 35 246814 35 247323 38 247833 39 248345 37 248856 37 249367 38 249879 34 250391 34 250903 33 251415 32 251928 29 252440 28 252953 25 253465 24 253977 22 254489 21 255002 18 255515 14 256028 11 256541 8
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,289816 3 290327 5 290839 4 291352 2
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,168495 3 169006 7 169518 7 170030 7 170543 7 171056 8 171569 8 172082 11 172594 11 173107 12 173619 13 174131 14 174643 14 175155 14 175667 14 176179 16 176691 16 177203 16 177715 16 178225 18 178737 18 179249 18 179761 18 180273 18 180785 18 181297 17 181809 16 182320 16 182832 15 183343 15 183854 15 184365 15 184876 15 185387 15 185899 14 186409 15 186921 14 187433 13 187945 12 188457 10 188971 6
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,131121 12 131633 12 132145 12 132657 12 133169 22 133681 22 134195 21 134707 21 135223 18 135735 18 136247 18 136759 18 137269 20 137781 20 138293 20 138805 20 139317 20 139828 21 140339 22 140851 22 141361 23 141873 22 142385 21 142897 20 143405 21 143917 20 144429 20 144941 20 145452 19 145964 18 146476 17 146987 18 147499 16 148012 14 148524 13 149036 13 149549 10 150061 9 150574 7 151089 4
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,228915 6 229425 12 229937 13 230448 15 230960 15 231472 16 231984 16 232496 16 233008 16 233520 15 234033 14 234545 13 235057 12
