ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 8 45359 10 45614 12 45869 13 46124 14 46381 13 46637 12 46893 11 47150 9 47408 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,27992 1 28248 2 28504 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50534 10 50788 13 51043 14 51298 16 51553 17 51809 17 52065 17 52320 17 52576 17 52832 16 53089 15 53345 14 53602 12 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 3 11147 7 11401 10 11656 11 11911 12 12167 12 12422 13 12677 14 12933 13 13189 13 13445 12 13701 11 13957 10 14214 8 14472 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31633 5 31885 11 32139 14 32394 15 32649 17 32904 18 33160 18 33415 19 33671 18 33927 18 34183 17 34439 15 34696 13 34952 12 35209 9 35467 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51097 6 51351 8 51606 10 51860 12 52116 12 52371 12 52626 13 52881 13 53137 12 53393 12 53648 11 53904 10 54161 8 54417 7 54675 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31388 5 31644 5 31900 5 32156 6 32412 5 32668 5 32927 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 3 38820 5 39074 8 39328 10 39582 12 39838 12 40093 13 40349 13 40605 12 40862 11 41118 11 41375 9 41631 8 41888 6 42145 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46192 1 46711 1 47230 2 47749 3 48268 4 48787 4 49306 5 49825 6 49844 2 50344 7 50361 7 50863 7 50879 9 51382 8 51397 10 51901 8 51916 12 51929 1 52420 9 52434 15 52939 9 52953 15 53458 10 53472 15 53977 11 53991 15 54496 13 54510 15 55015 30 55534 31 56053 31 56572 32 57091 32 57610 33 58129 33 58648 33 59167 34 59686 34 60205 34 60724 35 61243 35 61762 35 62281 35 62800 34 63319 33 63838 32 64357 32 64876 31 65395 30 65914 31 66433 31 66952 31 67471 32 67990 33 68509 34 69028 35 69547 36 70066 37 70585 1 70587 36 71108 35 71629 34 72149 34 72669 34 73189 34 73709 33 74228 34 74749 33 75269 33 75308 4 75788 33 75825 9 76294 1 76296 4 76307 34 76343 12 76813 7 76826 49 77332 8 77343 52 77851 8 77862 53 78370 9 78381 53 78890 64 79409 64 79929 63 80449 62 80968 63 81488 62 82007 62 82527 61 83047 60 83566 60 84086 59 84606 59 85125 59 85645 58 86165 57 86684 57 87204 56 87723 55 88243 54 88762 10 88778 38 89281 10 89297 36 89801 9 89816 34 90320 9 90335 34 90839 10 90854 35 91358 10 91373 35 91877 10 91892 36 92396 11 92411 36 92915 12 92930 37 93435 52 93954 53 94474 54 94993 57 95513 58 96032 60 96552 59 97071 60 97591 60 98112 59 98631 59 99151 59 99670 60 100190 60 100708 61 101227 62 101746 63 102265 63 102784 64 103303 6 103310 58 103823 5 103829 58 104342 5 104348 59 104862 4 104867 60 105382 2 105386 60 105905 1 105907 59 106424 1 106428 56 106943 1 106948 25 106976 27 107462 1 107466 26 107496 22 107520 2 107990 21 108017 21 108509 22 108537 23 109030 20 109056 23 109550 21 109576 24 110070 21 110096 24 110589 22 110617 23 111109 21 111137 23 111629 21 111660 20 112149 21 112180 21 112669 21 112701 20 113189 21 113220 21 113709 22 113740 21 114228 25 114259 23 114748 26 114777 24 115268 25 115295 26 115787 25 115815 26 116307 26 116334 27 116827 54 117347 54 117866 26 117894 28 118386 26 118414 28 118905 26 118933 30 119425 57 119945 57 120465 56 120984 57 121504 57 122023 37 122063 18 122543 35 122582 19 123062 37 123103 17 123582 36 123622 18 124102 37 124141 19 124622 58 125141 8 125151 49 125662 5 125670 50 126182 4 126190 50 126248 11 126702 2 126709 51 126765 15 127223 1 127228 53 127283 17 127747 72 128267 72 128787 71 129307 70 129827 69 130346 70 130864 69
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116776 1 117295 1 117814 1 118333 3 118852 3 119371 4 119890 5 120409 5 120928 5 121447 6 121966 6 122485 6 123004 7 123523 7 124042 7 124561 7 125080 8 125599 8 126118 8 126637 8 127156 8 127675 7 128194 7 128713 7 129232 6 129751 5 130272 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7 9 528 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24938 2 24941 1 25454 10 25971 14 26489 16 27005 20 27522 23 28040 25 28558 26 29077 26 29595 27 30113 28 30632 28 31151 28 31669 28 32188 28 32707 28 33226 27 33746 25 34265 24 34784 22 35303 19 35823 18 36342 16 36359 1 36862 12 36878 1 37382 10 37903 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117328 3 117842 1 117844 9 118361 12 118880 13 119399 14 119918 15 120435 18 120954 18 121473 19 121992 19 122510 20 123029 20 123548 21 124067 21 124586 20 125105 20 125624 20 126143 20 126662 20 127181 19 127701 18 128221 17 128741 16 129260 15 129779 14 130298 13 130819 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6797 5 7315 9 7833 11 8351 14 8869 16 9387 17 9906 18 10425 19 10944 19 11462 21 11981 21 12500 21 13019 21 13537 22 14056 22 14576 21 15095 21 15614 21 16133 21 16652 20 17171 20 17690 20 18209 19 18728 18 19247 18 19766 17 20286 15 20805 14 21324 14 21844 12 22363 11 22883 9 23404 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28610 5 29124 13 29640 18 30158 20 30676 22 31193 24 31712 24 32230 25 32748 26 33267 26 33785 26 34304 25 34822 26 35341 24 35860 23 36379 21 36898 20 37417 19 37936 18 38455 17 38974 16 39493 16 40013 13 40532 11 41054 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46783 14 47301 18 47818 22 48336 24 48855 24 49373 26 49892 26 50410 27 50929 27 51448 27 51967 26 52486 25 53005 24 53525 21 54045 19 54566 14 55092 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8380 2 8897 7 9415 9 9933 10 10451 12 10970 13 11488 15 12007 15 12526 16 13045 16 13564 16 14083 17 14603 16 15122 16 15641 17 16161 16 16681 15 17200 16 17720 15 18240 14 18760 13 19279 14 19799 13 20318 13 20838 12 21357 12 21876 12 22396 11 22915 11 23435 9 23956 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63410 5 63927 9 64445 12 64963 14 65481 16 65999 18 66518 19 67036 19 67555 19 68073 21 68592 21 69110 22 69629 22 70148 22 70667 23 71186 23 71705 23 72224 23 72743 22 73262 22 73782 22 74301 21 74821 20 75340 20 75859 19 76379 18 76898 17 77418 15 77937 15 78457 13 78976 12 79496 10 80016 8 80536 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,85 9 604 9 1124 8 1643 7 2163 6 2684 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93546 8 94064 11 94582 14 95100 15 95619 16 96137 18 96656 19 97175 20 97694 20 98213 21 98732 22 99251 22 99771 22 100290 22 100809 22 101328 22 101848 22 102367 22 102886 22 103406 20 103926 19 104446 18 104968 15 105489 12 106010 9 106531 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20910 4 21427 8 21945 11 22463 13 22981 15 23499 17 24002 1 24018 18 24519 7 24537 19 25037 9 25055 21 25555 12 25574 21 26074 12 26093 21 26592 15 26612 22 27111 15 27130 24 27630 16 27649 24 28149 16 28168 24 28668 43 29187 44 29706 44 30225 44 30744 44 31264 44 31783 43 32302 43 32821 43 33341 20 33364 19 33861 19 33884 17 34381 18 34405 14 34900 18 34925 11 35421 16 35446 7 35940 16 36459 16 36979 14 37501 10 38021 9 38544 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50479 8 50996 12 51513 15 52031 17 52549 19 53067 20 53585 21 54103 22 54622 22 55140 23 55658 24 56177 23 56695 23 57214 23 57732 23 58251 22 58770 21 59289 20 59808 20 60327 19 60846 18 61365 18 61884 18 62403 17 62923 15 63442 15 63962 13 64481 12 65001 11 65520 9 66040 7 66561 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,126 27 646 25 1165 25 1684 25 2203 25 2723 24 3242 24 3762 23 4282 22 4802 21 5321 20 5841 19 6361 17 6882 14 7402 12 7923 9 8444 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112768 3 113282 19 113800 23 114317 27 114836 28 115354 31 115873 31 116392 32 116910 33 117429 33 117948 33 118467 33 118987 32 119506 31 120026 29 120545 27 121066 24 121588 20 122113 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81665 7 82183 11 82701 13 83219 15 83737 16 84256 17 84775 18 85293 19 85812 20 86331 20 86850 20 87369 21 87889 20 88408 20 88927 19 89446 20 89965 19 90472 8 90484 19 90988 33 91503 36 92020 38 92538 38 93056 38 93574 37 94092 32 94611 32 95130 32 95649 31 96168 32 96688 30 97207 30 97727 29 98246 29 98766 27 99286 26 99806 24 100326 22 100846 20 101366 18 101888 13 102411 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,165 18 685 17 1204 18 1723 19 2242 19 2762 19 3281 19 3801 19 4320 20 4840 19 5360 19 5879 19 6399 19 6918 19 7438 18 7958 18 8477 17 8997 16 9516 16 10036 15 10556 14 11076 12 11596 10 12117 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57792 7 58307 15 58825 17 59343 19 59861 21 60380 22 60898 23 61417 24 61935 25 62454 25 62973 25 63492 25 64011 24 64530 24 65049 23 65568 21 66087 19 66607 17 67127 12 67648 5
