ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 10 45358 12 45613 14 45869 14 46125 14 46381 13 46637 12 46893 12 47151 8 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,27992 2 28247 4 28504 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50277 12 50532 13 50787 14 51042 15 51297 16 51553 16 51809 16 52065 16 52321 16 52577 16 52833 16 53089 16 53345 14 53601 13 53859 10 54117 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 6 11146 9 11401 11 11655 13 11910 14 12166 14 12421 15 12677 14 12933 14 13189 14 13445 12 13701 12 13957 11 14213 10 14471 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31633 4 31883 14 32138 16 32393 17 32649 17 32903 18 33159 18 33415 18 33671 18 33927 18 34183 18 34439 17 34695 16 34953 12 35209 11 35466 7 35723 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 5 51097 6 51349 11 51605 11 51860 12 52115 13 52370 14 52626 13 52881 14 53137 14 53393 12 53649 12 53905 11 54161 10 54417 8 54673 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31388 5 31644 5 31900 6 32156 6 32412 6 32669 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 6 38818 7 39073 10 39327 12 39582 13 39838 13 40093 13 40349 13 40605 13 40861 13 41118 11 41374 11 41631 9 41887 8 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46711 2 47230 2 47749 4 48268 5 48787 5 49306 6 49825 6 49842 7 50344 7 50360 10 50863 8 50878 13 51382 8 51397 13 51901 9 51915 15 52420 9 52434 15 52939 11 52952 17 53458 30 53977 30 54496 31 55015 31 55534 31 56053 32 56572 32 57091 32 57610 32 58129 32 58648 32 59167 34 59686 34 60205 32 60724 32 61243 32 61762 32 62281 34 62800 34 63319 32 63838 32 64357 32 64876 32 65395 31 65914 31 66433 31 66952 31 67471 32 67990 32 68509 33 69028 35 69547 36 70066 36 70585 38 71104 39 71623 40 72142 40 72661 42 73180 43 73699 44 74218 44 74737 45 74790 3 75256 46 75307 7 75775 47 75824 12 76294 62 76813 64 77332 64 77851 64 78370 64 78889 65 79408 65 79928 65 80448 64 80967 64 81487 63 82006 63 82526 62 83046 62 83566 61 84086 60 84605 60 85125 59 85644 59 86164 58 86683 58 87203 57 87723 56 88242 55 88761 55 89280 54 89799 54 90318 53 90837 53 91356 53 91875 54 92395 54 92914 55 93433 55 93952 56 94472 57 94991 59 95511 62 96031 62 96550 63 97069 63 97589 63 98109 63 98628 63 99148 62 99668 62 100187 63 100706 64 101225 65 101745 64 102264 65 102783 66 103302 66 103822 66 104341 66 104861 66 105380 66 105901 64 106420 64 106939 64 107460 62 107981 60 108504 58 109027 54 109547 54 110068 53 110588 53 111107 54 111627 55 112148 55 112667 56 113187 56 113707 55 114227 56 114747 56 115267 56 115786 56 116306 57 116826 57 117346 58 117865 59 118385 59 118904 59 119424 59 119943 59 120463 59 120983 59 121503 59 122022 60 122542 60 123061 60 123581 60 124100 61 124620 61 125140 61 125660 61 125727 1 125729 10 126180 62 126246 14 126701 62 126765 16 127220 63 127284 16 127740 80 128260 79 128781 78 129300 78 129821 76 130341 75 130860 75
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,86674 2 87193 3 87712 3 88231 3 88750 3 89269 4 89788 4 90307 4 90826 4 91345 4 91864 4 92383 4 92902 4 93421 3 93940 3 94459 2 94978 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117295 2 117814 3 118333 4 118852 4 119371 4 119890 5 120409 6 120928 6 121447 6 121966 7 122485 7 123004 7 123523 8 124042 8 124561 8 125080 9 125599 9 126118 9 126637 9 127156 9 127675 9 128194 9 128713 8 129232 8 129751 6 130270 6
