ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45105 8 45359 11 45614 12 45869 13 46125 13 46381 13 46637 12 46893 12 47150 9 47408 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50534 10 50788 13 51043 15 51298 16 51553 17 51809 17 52064 18 52320 17 52576 17 52833 16 53089 15 53345 14 53602 12 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 8 11401 10 11656 11 11911 13 12167 13 12422 13 12677 14 12933 14 13189 13 13445 12 13701 12 13957 11 14214 9 14472 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31631 8 31884 13 32139 14 32394 16 32649 17 32904 18 33160 18 33415 19 33671 18 33927 18 34183 18 34439 16 34696 14 34952 13 35209 10 35467 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 3 51097 6 51351 9 51606 10 51860 12 52116 12 52371 12 52626 13 52882 12 53137 13 53393 12 53649 11 53905 10 54161 9 54418 7 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31389 4 31644 5 31900 6 32156 6 32412 6 32668 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 4 38819 6 39074 8 39328 10 39582 12 39838 12 40093 13 40349 13 40605 13 40862 12 41118 11 41375 10 41631 9 41888 7 42146 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46192 1 46711 2 47230 3 47749 4 48268 4 48787 5 49306 5 49825 6 49843 5 50344 6 50361 7 50863 7 50879 10 51382 7 51397 12 51901 8 51916 14 52420 9 52435 14 52939 9 52954 15 53458 10 53473 15 53977 11 53992 15 54496 13 54510 16 55015 31 55534 31 56053 31 56572 32 57091 32 57610 33 58129 33 58648 34 59167 34 59686 34 60205 35 60724 35 61243 35 61762 35 62281 35 62800 35 63319 34 63838 34 64357 32 64876 32 65395 31 65914 31 66433 30 66952 30 67471 31 67990 31 68509 32 69028 33 69547 35 70066 36 70585 37 71108 34 71629 33 72149 34 72668 34 73187 35 73706 36 74224 38 74737 2 74742 40 75256 45 75309 4 75775 46 75826 9 76294 46 76344 11 76813 46 76862 14 77332 46 77381 14 77851 46 77901 14 78370 46 78420 14 78889 46 78939 15 79409 45 79458 15 79929 44 79977 15 80448 45 80496 16 80968 63 81488 62 82007 62 82527 61 83047 60 83567 59 84086 59 84606 59 85125 59 85645 58 86165 57 86685 56 87204 56 87723 55 88242 55 88761 55 89281 53 89801 51 90320 50 90839 50 91358 50 91877 51 92396 51 92915 53 93434 54 93954 54 94473 54 94993 58 95512 60 96031 61 96551 61 97071 60 97591 60 98111 60 98630 60 99150 60 99670 60 100189 61 100708 61 101227 62 101746 1 101749 59 102265 1 102268 60 102787 61 103306 2 103309 59 103824 2 103829 58 104343 4 104349 57 104862 4 104870 56 105382 3 105386 1 105390 55 105901 4 105912 46 106422 6 106432 45 106942 4 106952 45 107462 3 107470 46 107990 1 107992 45 108511 47 109031 49 109551 49 110070 51 110589 51 111109 51 111629 52 112149 52 112669 53 113189 53 113708 54 114228 53 114748 53 115267 54 115787 54 116307 54 116827 54 117347 54 117866 56 118386 57 118905 58 119425 57 119945 57 120464 58 120984 58 121503 58 122023 58 122543 58 123062 37 123101 20 123582 36 123621 19 124101 59 124621 59 125141 59 125661 59 126181 59 126248 11 126701 60 126765 15 127222 78 127742 77 128263 2 128266 73 128788 70 129307 71 129826 71 130345 71 130864 70
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,91345 2 91864 2 92383 2 92902 2 93421 2 93940 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116776 1 117295 2 117814 2 118333 3 118852 4 119371 4 119890 5 120409 5 120928 6 121447 6 121966 6 122485 7 123004 7 123523 7 124042 7 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 7 128713 7 129232 6 129751 5
