ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 10 45359 10 45613 12 45869 12 46125 12 46381 12 46637 12 46893 12 47151 6 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50278 9 50533 11 50788 13 51043 14 51297 16 51553 16 51809 16 52065 16 52321 16 52577 16 52833 16 53089 16 53345 14 53602 11 53859 9 54117 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 6 11401 10 11657 10 11911 12 12167 12 12421 14 12677 14 12933 14 13189 13 13445 12 13701 12 13957 12 14213 12
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30877 2 31133 3 31388 5 31633 4 31644 5 31883 22 32139 22 32393 24 32649 24 32903 18 33159 18 33415 18 33671 18 33927 18 34183 18 34439 16 34695 16 34953 10 35209 10 35467 6 35725 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51097 4 51349 11 51605 11 51860 12 52115 13 52369 14 52625 14 52881 14 53137 14 53393 12 53649 11 53905 10 54161 9 54417 8 54674 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 3 38819 6 39073 8 39327 10 39582 12 39837 13 40093 13 40349 13 40605 12 40861 12 41118 11 41375 10 41631 9 41887 8 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47230 1 47749 4 48268 4 48787 4 49306 5 49825 8 49843 6 50344 8 50361 7 50863 8 50879 10 51382 8 51398 10 51901 8 51916 13 52420 9 52435 13 52939 10 52953 15 53458 10 53472 15 53977 30 54496 30 55015 30 55534 31 56053 32 56572 32 57091 32 57610 32 58129 32 58648 33 59167 33 59686 34 60205 34 60724 34 61243 34 61762 34 62281 34 62800 34 63319 34 63838 34 64357 32 64876 32 65395 32 65914 32 66433 30 66952 30 67471 32 67990 32 68509 34 69028 34 69547 36 70066 36 70585 40 71104 40 71623 40 72142 40 72661 6 72669 34 73180 6 73188 34 73699 7 73707 35 74218 44 74737 46 75256 46 75775 48 75827 8 76294 48 76345 9 76813 63 77332 64 77851 64 78370 64 78889 64 79408 64 79928 64 80448 63 80969 62 81488 62 82007 62 82527 61 83047 60 83566 60 84087 58 84606 58 85125 58 85644 58 86163 58 86683 57 87204 55 87723 55 88243 54 88762 53 89281 52 89800 52 90319 52 90838 52 91358 51 91877 51 92397 50 92916 51 93435 54 93954 54 94474 54 94994 56 95513 59 96032 60 96551 60 97070 60 97591 60 98110 60 98631 60 99150 60 99669 60 100188 60 100707 62 101226 62 101747 62 102266 62 102787 60 103306 60 103828 59 104347 59 104867 59 105386 59 105905 60 106424 60 106943 60 107462 1 107466 56 107993 48 108512 48 109031 48 109550 50 110071 50 110590 50 111110 50 111630 50 112151 50 112670 51 113190 52 113709 53 114229 54 114748 54 115267 56 115786 56 116309 54 116828 56 117347 56 117866 56 118386 57 118906 57 119425 58 119945 57 120465 56 120984 57 121503 58 122023 57 122543 58 123062 58 123583 57 124102 58 124622 59 125142 58 125663 58 125732 3 126182 58 126249 9 126704 58 126765 15 127224 2 127227 73 127747 72 128266 72 128785 73 129304 73 129823 73 130342 73 130861 72
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118333 3 118852 3 119371 4 119890 4 120409 6 120928 6 121447 6 121966 6 122485 7 123004 7 123523 8 124042 8 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 8 128713 6 129232 6 129751 5 130270 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24935 10 25453 11 25970 15 26488 17 27005 20 27522 22 28040 24 28558 26 29075 28 29594 28 30113 28 30631 29 31149 30 31668 30 32187 29 32706 29 33225 28 33744 26 34264 24 34783 23 35303 22 35823 19 36343 18 36862 17 37383 8 37904 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117327 6 117844 9 118361 12 118880 13 119399 14 119917 16 120435 18 120953 19 121472 19 121991 20 122509 21 123028 22 123547 22 124066 22 124585 22 125104 22 125623 21 126142 21 126661 20 127181 19 127701 18 128220 18 128741 16 129260 15 129779 14 130298 14 130818 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6798 4 7315 8 7834 10 8349 16 8868 17 9387 18 9906 18 10425 20 10944 20 11462 21 11981 21 12499 22 13018 22 13537 22 14056 22 14575 22 15094 22 15613 22 16132 22 16651 22 17170 22 17689 22 18208 21 18727 20 19247 19 19766 17 20285 17 20805 14 21324 14 21843 12 22363 11 22885 6 23404 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29121 18 29640 18 30157 22 30676 22 31193 24 31712 24 32230 25 32748 26 33265 28 33784 27 34303 26 34822 26 35341 24 35860 24 36379 24 36898 22 37417 19 37936 18 38455 17 38974 16 39493 16 40012 16 40531 13 41051 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,45749 4 46266 10 46783 16 47301 18 47817 24 48336 24 48855 24 49374 24 49891 27 50410 27 50929 26 51447 27 51966 27 52485 27 53005 24 53524 24 54045 18 54564 16 55087 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8377 8 8896 8 9415 8 9934 9 10451 12 10970 13 11489 14 12007 15 12525 17 13044 17 13563 18 14082 18 14601 18 15120 19 15640 19 16160 18 16681 16 17200 16 17719 16 18238 16 18759 14 19278 14 19798 13 20318 12 20837 12 21356 12 21876 11 22396 10 22915 10 23435 9 23955 8 24474 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63413 2 63930 5 64445 12 64964 12 65481 14 66000 14 66517 20 67036 20 67555 20 68074 20 68591 22 69110 22 69629 22 70148 22 70667 22 71186 22 71705 22 72224 22 72743 22 73262 22 73781 22 74301 21 74821 20 75340 20 75859 20 76378 20 76898 17 77418 16 77937 15 78456 14 78977 11 79496 10 80015 8 80536 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,85 8 604 8 1123 8 1642 8 2163 6 2683 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93545 10 94064 11 94582 13 95100 14 95617 19 96136 20 96655 20 97174 20 97693 22 98212 22 98731 23 99250 24 99770 23 100290 22 100809 22 101328 22 101848 21 102367 21 102887 20 103406 20 103927 18 104447 17 104967 16 105486 16 106009 10 106530 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20909 6 21428 8 21945 11 22463 13 22981 16 23500 16 24002 1 24019 16 24520 5 24537 17 25037 12 25055 22 25556 12 25574 22 26074 13 26093 22 26592 14 26612 22 27111 16 27131 22 27630 17 27650 22 28149 18 28169 23 28668 19 28688 23 29187 44 29706 44 30225 44 30744 45 31263 45 31783 44 32303 43 32822 42 33341 20 33364 18 33861 19 33884 16 34381 18 34404 15 34900 18 34924 14 35421 16 35446 6 35940 16 36459 16 36978 16 37501 10 38021 8
