ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 10 45359 10 45613 12 45869 12 46125 12 46381 12 46637 12 46893 12 47151 6 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 9 50533 12 50788 13 51043 14 51297 16 51553 16 51809 16 52065 16 52321 16 52577 16 52833 16 53089 16 53345 14 53601 13 53859 10 54116 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 6 11401 10 11657 10 11911 12 12167 12 12421 14 12677 14 12933 14 13189 13 13445 12 13701 12 13957 12 14213 12
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31633 4 31885 12 32139 14 32393 17 32649 17 32904 17 33160 17 33415 18 33671 18 33927 18 34183 18 34439 17 34696 15 34953 11 35209 10 35467 6 35725 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51099 2 51349 11 51605 11 51860 13 52115 14 52369 14 52625 14 52881 14 53137 14 53393 12 53649 12 53905 10 54161 9 54417 8 54673 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 2 31389 4 31645 4 31900 5 32156 5 32412 5 32668 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 3 38820 5 39073 8 39328 9 39582 12 39838 12 40093 12 40349 12 40605 12 40861 12 41118 11 41375 10 41631 10 41888 9 42146 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46711 1 47230 2 47749 4 48268 4 48787 4 49306 4 49825 8 49843 6 50344 8 50361 7 50863 8 50879 9 51382 8 51398 9 51901 8 51916 13 52420 8 52435 13 52939 10 52954 14 53458 10 53473 14 53977 30 54496 30 55015 32 55534 32 56053 32 56572 32 57091 32 57610 32 58129 33 58648 33 59167 34 59686 34 60205 35 60724 35 61243 35 61762 35 62281 34 62800 34 63319 33 63838 32 64357 32 64876 32 65395 32 65914 32 66433 32 66952 32 67471 32 67990 32 68509 32 69028 32 69547 35 70066 36 70585 40 71104 40 71623 3 71628 35 72142 3 72148 34 72661 1 72669 33 73180 1 73188 34 73707 35 74226 35 74737 3 74746 37 75256 4 75264 1 75266 36 75308 5 75775 6 75783 40 75825 10 76294 10 76305 37 76343 11 76813 64 77332 64 77851 64 78370 64 78889 64 79408 64 79928 64 80448 63 80968 63 81488 62 82007 62 82526 62 83047 60 83567 59 84087 58 84606 58 85125 58 85644 59 86164 57 86684 56 87204 55 87723 55 88243 54 88762 54 89281 52 89800 52 90319 52 90838 52 91357 52 91876 52 92396 51 92915 51 93435 53 93954 54 94473 54 94993 53 95513 59 96032 60 96551 60 97070 60 97591 60 98110 60 98631 60 99150 60 99669 60 100188 61 100707 62 101226 62 101746 63 102265 63 102784 63 103304 62 103825 2 103829 59 104344 2 104348 59 104863 64 105382 64 105905 60 106424 60 106943 56 107462 56 107992 49 108512 48 109031 48 109550 49 110069 52 110588 52 111109 51 111628 52 112150 51 112669 52 113189 52 113708 53 114229 52 114748 52 115267 54 115786 54 116307 54 116827 53 117347 54 117866 56 118385 58 118905 57 119425 57 119944 58 120465 56 120984 56 121503 58 122022 58 122543 58 123062 58 123581 59 124101 59 124622 59 125141 59 125661 59 125735 2 126182 58 126250 8 126703 3 126709 52 126765 15 127222 2 127228 52 127284 16 127747 72 128266 72 128787 71 129306 71 129825 72 130344 71 130863 71
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117295 1 117814 2 118333 4 118852 4 119371 4 119890 4 120409 6 120928 6 121447 6 121966 6 122485 8 123004 8 123523 8 124042 8 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 8 128713 6 129232 6 129751 4 130270 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24935 10 25453 11 25971 13 26489 15 27005 20 27524 20 28041 23 28559 24 29076 27 29595 27 30113 28 30632 28 31150 29 31669 28 32187 28 32706 28 33226 26 33745 25 34265 22 34784 22 35303 22 35823 19 36343 18 36862 18 37385 6 37904 5
