ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 10 45359 10 45613 12 45869 12 46125 13 46381 13 46637 12 46893 12 47151 6 47409 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 9 50533 12 50789 12 51044 13 51297 16 51553 16 51809 16 52065 16 52321 16 52577 16 52833 16 53089 16 53345 14 53602 12 53860 8 54117 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 6 11401 10 11657 10 11911 12 12167 12 12421 14 12677 14 12933 14 13189 13 13445 12 13701 12 13957 12 14213 12
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31389 4 31645 4 31883 14 31899 6 32139 15 32155 6 32393 24 32649 24 32905 16 33161 16 33416 17 33672 17 33927 18 34183 18 34440 17 34696 16 34953 11 35209 10 35467 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,51098 3 51349 12 51605 12 51861 12 52116 13 52370 14 52626 13 52881 14 53137 14 53393 12 53649 12 53905 10 54161 10 54417 8 54674 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 3 38821 4 39073 8 39329 8 39583 11 39838 12 40093 13 40349 12 40605 12 40861 12 41119 10 41375 10 41631 9 41888 7 42147 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47230 2 47749 4 48268 4 48787 4 49306 5 49825 8 49841 8 50344 8 50360 8 50863 8 50879 9 51382 8 51398 10 51901 8 51917 12 52420 8 52436 12 52939 9 52954 14 53458 10 53473 14 53977 30 54496 31 55015 32 55534 32 56053 32 56572 32 57091 32 57610 32 58129 33 58648 33 59167 34 59686 34 60205 34 60724 34 61243 34 61762 34 62281 34 62800 34 63319 33 63838 32 64357 32 64876 32 65395 32 65914 32 66433 32 66952 32 67471 32 67990 32 68509 32 69028 33 69547 34 70066 36 70585 40 71104 40 71627 36 72146 36 72669 33 73188 34 73707 35 74226 35 74737 44 75256 45 75775 46 75827 8 76294 46 76346 8 76813 47 76863 14 77332 47 77382 14 77851 46 77901 14 78370 46 78420 14 78889 64 79408 65 79928 64 80448 64 80969 62 81488 62 82007 62 82526 62 83048 59 83568 58 84087 58 84606 58 85125 58 85644 58 86164 57 86684 56 87205 54 87724 54 88243 52 88762 52 89281 52 89800 52 90320 51 90839 51 91359 50 91878 50 92397 50 92916 50 93435 52 93954 53 94474 53 94993 53 95513 56 96032 58 96551 59 97070 60 97591 60 98110 60 98631 52 98685 5 99150 52 99204 5 99673 56 100192 56 100711 57 101230 58 101751 56 102270 57 102789 58 103308 58 103831 55 104352 52 104871 50 105390 50 105913 46 106432 46 106951 47 107470 48 107993 48 108512 48 109031 48 109550 49 110073 48 110592 48 111111 50 111630 50 112151 50 112670 51 113190 51 113710 51 114229 52 114748 53 115267 54 115786 55 116309 52 116828 52 117347 54 117866 54 118387 54 118906 56 119425 57 119945 57 120465 56 120984 56 121503 58 122022 58 122543 58 123062 58 123582 58 124102 58 124622 59 125142 58 125663 57 125735 2 126182 58 126250 8 126703 58 126765 16 127223 59 127284 16 127747 72 128266 72 128785 73 129305 72 129825 71 130343 72 130862 71
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117814 2 118333 4 118852 4 119371 4 119890 4 120409 6 120928 6 121447 6 121966 7 122485 8 123004 8 123523 8 124042 8 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 8 128713 7 129232 6 129751 5 130270 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24937 8 25454 10 25971 14 26489 16 27005 20 27524 20 28041 24 28560 24 29077 26 29595 27 30113 28 30632 28 31150 29 31669 29 32188 29 32707 28 33226 27 33745 26 34265 23 34784 22 35304 21 35823 20 36343 18 36862 17 37385 7 37904 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117327 6 117845 8 118361 12 118880 13 119399 14 119917 16 120435 18 120954 18 121472 20 121991 20 122509 22 123028 22 123547 22 124066 22 124585 22 125104 22 125623 22 126142 21 126661 21 127180 20 127700 19 128220 18 128740 17 129259 16 129779 14 130298 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6798 4 7315 8 7834 9 8350 15 8869 15 9387 18 9906 18 10425 20 10944 20 11463 20 11982 20 12500 21 13018 22 13537 22 14056 22 14575 22 15094 22 15613 22 16132 22 16651 22 17170 22 17689 22 18208 22 18728 19 19247 19 19766 18 20286 16 20805 14 21324 14 21843 12 22362 12 22885 8 23404 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29121 18 29640 18 30158 21 30676 22 31193 24 31712 24 32230 25 32749 25 33265 28 33784 28 34303 27 34822 26 35341 24 35860 24 36379 24 36898 24 37417 20 37936 19 38455 18 38974 18 39493 16 40012 16 40532 13 41052 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,45749 4 46266 10 46783 16 47301 17 47817 24 48336 24 48855 24 49374 25 49891 27 50410 27 50929 27 51447 27 51967 26 52486 26 53005 25 53524 24 54045 18 54564 18 55087 10 55610 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8377 8 8896 8 9415 8 9934 8 10451 12 10970 13 11489 14 12007 15 12525 17 13044 17 13563 18 14083 17 14602 18 15121 18 15641 18 16160 18 16681 16 17200 16 17719 16 18238 16 18757 16 19277 15 19797 14 20316 14 20837 13 21356 13 21876 12 22395 12 22916 9 23436 8 23955 8 24474 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63411 4 63928 8 64445 12 64962 15 65480 17 65999 17 66517 20 67036 20 67555 20 68074 20 68592 21 69110 22 69629 22 70148 22 70667 22 71186 22 71705 22 72224 22 72743 22 73262 22 73781 22 74301 21 74821 20 75340 20 75859 20 76378 20 76899 16 77418 16 77937 15 78456 14 78977 10 79496 10 80016 7 80536 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,85 9 604 9 1123 8 1642 8 2164 5 2684 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93545 10 94064 11 94582 13 95100 14 95617 20 96136 20 96655 20 97174 20 97693 22 98212 22 98731 24 99250 24 99770 23 100290 22 100809 22 101328 22 101848 21 102367 21 102887 20 103406 20 103929 16 104448 16 104967 16 105486 16 106010 9 106530 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25037 12 25556 12 26074 13 26592 14 27111 14 27630 15 28149 16 28668 16 29187 18 29706 18 30225 18 30744 19 31264 19 31783 19 32303 19 32822 20 33341 20 33861 19 34381 18 34900 18 35421 16 35940 16 36459 16 36978 16 37501 10 38021 9 38544 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49961 8 50479 9 50995 13 51514 14 52029 20 52548 20 53067 20 53586 20 54103 22 54622 22 55139 24 55658 24 56177 23 56696 23 57214 23 57733 23 58251 22 58770 22 59289 22 59808 21 60327 19 60846 19 61365 18 61884 18 62404 17 62923 16 63443 14 63962 14 64481 12 65000 12 65521 10 66040 10 66561 4 67080 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,127 26 646 26 1165 26 1684 26 2203 26 2722 26 3243 24 3762 24 4281 24 4800 24 5321 21 5840 21 6362 17 6882 15 7402 13 7922 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112249 4 112767 9 113282 21 113800 22 114317 28 114836 28 115355 30 115874 30 116392 33 116911 33 117429 34 117948 34 118468 33 118987 33 119507 30 120026 30 120546 26 121066 24 121587 20 122107 19
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20909 6 21428 7 21945 11 22464 12 22981 16 23500 16 24019 17 24538 18 25056 21 25575 21 26094 21 26613 21 27133 21 27652 21 28171 22 28690 22 29208 23 29728 22 30247 23 30766 23 31285 23 31804 23 32325 21 32844 20 33365 17 33884 16 34405 14 34924 14 35445 8 35966 4
