ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 8 45359 11 45614 13 45869 14 46125 14 46381 13 46637 13 46893 12 47150 9 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,27992 1 28248 2 28504 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50534 10 50788 13 51043 15 51298 16 51553 17 51809 17 52065 17 52320 18 52576 17 52832 17 53089 15 53345 14 53602 12 53859 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 8 11401 10 11656 12 11911 13 12166 14 12422 13 12678 13 12933 14 13189 13 13445 13 13701 12 13957 11 14214 8 14471 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31631 8 31884 13 32139 15 32394 16 32649 17 32904 18 33160 18 33415 19 33671 19 33927 18 34183 17 34439 16 34696 14 34952 13 35209 10 35466 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 3 51097 6 51351 9 51605 11 51860 12 52116 12 52371 13 52626 13 52882 13 53137 13 53393 12 53648 12 53904 11 54161 9 54417 8 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31388 5 31644 5 31900 5 32156 5 32412 5 32669 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 4 38819 7 39074 8 39327 12 39582 13 39838 13 40093 13 40349 13 40605 13 40862 12 41118 11 41375 9 41631 9 41888 7 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46711 2 47230 3 47749 4 48268 4 48787 5 49306 6 49825 6 49843 5 50344 7 50361 8 50863 8 50879 10 51382 8 51397 14 51901 9 51915 15 52420 10 52434 15 52939 11 52952 17 53458 12 53471 17 53977 30 54496 30 55015 30 55534 31 56053 31 56572 32 57091 32 57610 32 58129 33 58648 33 59167 33 59686 33 60205 33 60724 33 61243 33 61762 33 62281 32 62800 31 63319 31 63838 30 64357 30 64876 30 65395 30 65914 30 66433 30 66952 31 67471 31 67990 32 68509 34 69028 36 69547 37 70066 38 70585 39 71104 40 71623 41 72142 42 72661 42 73180 5 73188 35 73699 5 73707 36 74218 5 74227 36 74737 6 74746 37 75256 7 75266 36 75307 7 75775 8 75785 38 75824 11 76294 9 76304 52 76813 63 77332 64 77851 64 78370 65 78889 65 79409 64 79928 65 80448 64 80968 63 81487 63 82007 63 82527 62 83046 62 83566 61 84086 60 84605 60 85125 59 85645 58 86164 58 86684 57 87203 57 87723 55 88242 55 88761 55 89281 53 89800 53 90319 52 90838 52 91357 52 91876 52 92395 53 92915 53 93434 54 93953 56 94473 58 94992 60 95512 60 96031 61 96551 61 97070 62 97590 62 98112 59 98631 60 99150 61 99669 61 100188 62 100707 63 101226 64 101745 64 102264 4 102269 60 102783 4 102789 59 103303 3 103308 60 103822 3 103828 60 104341 4 104347 60 104861 4 104866 61 105381 65 105901 64 106421 6 106429 56 106941 5 106949 55 107461 3 107469 54 107981 2 107989 53 108510 51 109030 51 109550 51 110070 51 110589 52 111109 53 111629 53 112149 54 112668 55 113188 55 113708 55 114227 56 114747 56 115267 55 115787 55 116307 55 116826 56 117346 58 117866 58 118385 58 118905 58 119424 59 119944 59 120464 58 120983 59 121503 59 122023 59 122542 60 123062 59 123582 59 124101 60 124621 60 125141 60 125661 60 125732 6 126181 60 126247 13 126701 5 126708 54 126765 15 127222 3 127227 73 127747 73 128267 72 128786 72 129306 72 129825 72 130344 72 130862 72
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,91345 2 91864 2 92383 2 92902 2 93421 2 93940 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117295 2 117814 3 118333 3 118852 4 119371 4 119890 5 120409 6 120928 6 121447 6 121966 7 122485 7 123004 7 123523 7 124042 8 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 7 128713 7 129232 6 129751 6 130272 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8 6 527 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24422 1 24939 5 25454 11 25971 15 26488 18 27005 21 27522 24 28040 25 28558 26 29076 27 29594 28 30113 28 30632 28 31150 29 31669 29 32188 28 32707 28 33226 27 33745 26 34264 25 34784 23 35303 21 35823 19 36342 19 36862 14 36878 1 37382 11 37902 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117844 8 118361 12 118879 15 119398 16 119917 16 120436 17 120954 18 121473 19 121992 19 122511 19 123029 21 123548 21 124067 21 124586 21 125105 20 125624 20 126143 20 126662 20 127182 19 127701 19 128220 18 128740 17 129259 16 129778 16 130298 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6796 8 7314 11 7832 13 8350 15 8868 17 9387 18 9906 19 10424 20 10943 21 11462 21 11981 22 12500 22 13018 23 13537 23 14056 23 14575 23 15094 23 15613 23 16132 23 16651 22 17170 22 17689 21 18208 21 18728 19 19247 19 19766 18 20285 17 20805 15 21324 15 21843 14 22363 12 22883 10 23403 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28607 10 29123 16 29640 19 30157 22 30675 23 31193 25 31711 26 32230 26 32748 26 33266 27 33785 26 34304 26 34822 26 35341 25 35860 24 36379 22 36898 21 37416 21 37935 20 38455 18 38974 17 39493 16 40012 15 40532 12 41053 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46268 4 46783 16 47300 20 47818 23 48336 25 48855 25 49373 26 49892 26 50410 27 50929 27 51448 27 51967 27 52486 26 53005 25 53524 23 54044 20 54564 17 55087 9
