ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45105 7 45359 11 45614 12 45869 14 46125 14 46381 13 46637 12 46893 11 47150 9 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50534 10 50788 13 51043 14 51298 16 51554 16 51809 17 52065 17 52320 17 52576 17 52833 16 53089 15 53345 14 53602 12 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10894 2 11147 7 11401 10 11656 11 11911 12 12167 12 12422 13 12678 13 12933 14 13189 13 13445 12 13701 11 13957 10 14214 8 14472 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31632 6 31885 11 32139 14 32394 16 32649 17 32904 19 33160 18 33415 19 33671 19 33927 18 34183 17 34439 16 34696 14 34952 12 35209 10 35467 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51097 6 51351 8 51606 10 51861 11 52116 12 52371 12 52626 13 52882 12 53137 13 53393 12 53648 12 53905 10 54161 9 54417 7 54675 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31389 4 31644 5 31901 4 32157 5 32413 5 32669 4 32925 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 3 38820 5 39075 7 39328 10 39582 12 39838 12 40094 12 40349 13 40605 13 40862 11 41118 11 41375 9 41631 8 41888 6 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,45673 1 46192 1 46711 2 47230 3 47749 3 48268 4 48787 5 49306 5 49825 6 49844 3 50344 6 50361 7 50863 7 50879 9 51382 8 51397 11 51901 8 51915 13 52420 9 52434 15 52939 10 52952 16 53458 11 53470 17 53977 30 54496 30 55015 30 55534 31 56053 31 56573 31 57093 30 57615 28 58135 27 58654 27 59177 24 59696 24 60215 24 60734 24 61251 27 61770 27 62290 26 62810 25 63329 24 63848 23 64367 22 64886 21 65407 19 65926 18 66453 1 66455 8 66971 4 66976 6 67492 2 67495 7 68012 1 68014 8 68535 8 69054 10 69578 3 69582 2 70102 2 70621 3 71141 3 71660 3 72179 4 72698 5 73217 6 73737 5 74256 6 74775 7 75295 7 75308 5 75814 8 75825 9 76333 22 76851 24 77370 25 77889 26 78408 5 78414 20 78927 27 79446 27 79965 27 80484 27 81003 28 81522 28 82041 28 82560 28 83075 3 83079 28 83594 4 83599 27 84113 4 84121 24 84632 4 84640 25 85128 3 85151 4 85159 14 85174 10 85646 5 85670 4 85678 14 85694 9 86165 6 86189 4 86197 15 86213 9 86684 6 86708 4 86716 15 86732 9 87204 8 87227 4 87235 1 87237 23 87723 10 87746 4 87758 20 88243 10 88265 4 88277 20 88762 10 88781 7 88796 20 89281 11 89296 11 89315 19 89801 11 89815 11 89834 19 90319 12 90333 12 90357 14 90838 12 90852 12 90876 14 91357 11 91370 13 91395 13 91877 10 91889 13 91915 12 92396 10 92407 14 92434 13 92915 10 92926 14 92952 15 93434 25 93471 16 93954 24 93990 3 93994 13 94473 28 94511 1 94513 14 94993 27 95032 16 95050 1 95512 27 95551 21 96032 26 96070 3 96074 18 96552 27 96595 17 97071 29 97114 7 97122 10 97592 1 97594 25 97633 4 97642 10 98114 26 98153 2 98162 9 98634 27 98682 9 99154 26 99201 10 99673 26 99721 9 100193 25 100241 9 100713 24 100761 9 101232 24 101280 10 101751 24 101801 8 102271 22 102321 8 102790 22 102841 7 103310 22 103361 6 103829 23 103881 6 104349 21 104400 6 104871 22 104920 6 105390 21 105439 6 105911 18 105958 7 106433 14 106478 6 106954 11 106998 6 107474 9 107519 4 107995 6 108041 1 108515 5 109035 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,70585 1 70587 1 71104 5 71623 7 72142 8 72661 9 73180 9 73699 10 74218 10 74737 10 75256 11 75775 12 76294 12 76813 12 77332 11 77344 3 77851 11 78370 10 78889 8 79408 7 79927 4 80446 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,88750 1 89269 2 89788 3 90307 3 90826 3 91345 4 91864 4 92383 3 92902 3 93421 3 93940 2 94459 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116776 1 117295 2 117814 3 118333 3 118852 4 119371 4 119890 5 120409 5 120928 6 121447 6 121966 6 122485 7 123004 7 123523 7 124042 7 124561 7 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 7 128713 7 129232 6 129751 6 130271 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7 7 526 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24941 1 25455 9 25971 14 26489 16 27005 20 27523 22 28040 25 28558 26 29077 26 29595 27 30113 28 30632 28 31151 28 31670 28 32188 28 32707 28 33226 27 33745 26 34265 24 34784 24 35303 22 35823 19 36342 17 36862 13 37382 10 37902 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,73718 1 74236 2 74755 4 75274 4 75793 4 76312 4 76831 4 77350 4 77869 4 78388 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117327 5 117844 9 118361 13 118880 14 119398 16 119917 16 120435 18 120954 18 121472 20 121991 20 122510 20 123029 20 123547 22 124066 22 124585 22 125104 21 125624 20 126143 20 126662 20 127181 20 127701 18 128220 18 128740 17 129259 16 129779 15 130298 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6797 5 7314 10 7832 12 8351 14 8869 16 9388 16 9906 18 10425 19 10944 19 11462 21 11981 21 12500 21 13019 21 13538 21 14057 21 14576 21 15095 21 15614 21 16133 21 16652 20 17171 20 17690 20 18209 19 18728 19 19247 18 19766 18 20286 16 20805 15 21324 14 21843 13 22363 11 22883 9 23403 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28609 5 29123 15 29640 19 30158 21 30676 22 31194 23 31712 24 32230 25 32748 26 33267 26 33785 26 34304 25 34822 26 35341 25 35860 23 36379 22 36898 20 37416 20 37935 19 38455 18 38974 17 39493 15 40012 14 40532 11 41054 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112183 2 112702 2 113209 4 113217 2 113220 5 113728 10 113739 5 114228 3 114247 4 114252 11 114748 3 114758 2 114766 4 114771 12 115267 6 115277 3 115287 16 115787 6 115796 3 115801 3 115808 15 115838 3 116307 6 116315 3 116319 23 116356 5 116827 6 116834 3 116838 23 116874 7 117346 6 117353 23 117377 1 117392 8 117866 31 117910 13 118385 33 118427 16 118905 32 118938 2 118943 20 119425 58 119497 1 119945 30 119976 2 119980 22 120013 5 120464 28 120495 27 120530 7 120984 27 121019 23 121047 9 121504 26 121541 21 121566 9 122023 27 122059 22 122085 9 122543 28 122582 19 122603 10 123062 28 123097 3 123101 20 123122 10 123582 27 123617 5 123623 10 123634 17 124101 27 124136 14 124155 1 124158 12 124621 10 124632 10 124643 4 124656 6 124663 6 124678 11 125141 19 125162 4 125177 3 125183 5 125198 10 125661 5 125669 1 125671 8 125681 4 125696 3 125702 1 125718 2 125721 6 126181 2 126190 7 126200 4 126240 6 126249 10 126702 1 126709 8 126720 1 126760 20 127229 6 127283 17 127749 4 127803 16 128268 3 128322 17 128841 17 129360 18 129879 18 130398 18 130917 16
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,104897 3 105417 4 105938 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,104903 1 105422 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46268 6 46783 15 47300 20 47818 22 48336 24 48855 25 49373 26 49892 26 50410 27 50929 27 51448 27 51967 26 52486 25 53005 24 53524 23 54044 20 54564 17 55090 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,103350 2 103867 5 104386 5 104905 5 105424 2 105427 2 105943 1 106462 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8379 4 8897 7 9415 9 9933 10 10451 12 10969 14 11488 15 12007 15 12525 17 13044 17 13563 17 14082 18 14602 17 15121 17 15641 17 16160 17 16680 16 17200 16 17720 15 18240 14 18759 14 19279 14 19799 13 20318 13 20838 12 21357 12 21876 12 22396 11 22915 11 23435 9 23955 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,106986 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,106988 1 107507 1 108026 1
