ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 10 45359 10 45613 14 45869 14 46125 14 46381 14 46637 12 46893 12 47151 6 47407 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,28247 4 28503 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50535 8 50787 14 51043 14 51297 16 51553 16 51809 16 52065 16 52321 16 52577 16 52833 16 53089 16 53345 14 53601 14 53861 6 54117 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11149 4 11401 10 11657 10 11911 12 12167 12 12421 14 12677 14 12933 14 13189 14 13445 12 13701 12 13957 10 14213 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31379 2 31635 2 31883 14 32139 14 32393 18 32649 18 32903 20 33159 20 33415 20 33671 20 33927 18 34183 18 34439 16 34695 16 34953 10 35209 10 35467 6 35723 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 6 51097 6 51351 8 51607 8 51859 12 52115 12 52371 12 52627 12 52881 12 53137 12 53393 12 53649 12 53905 10 54161 10 54417 6 54673 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31389 4 31645 4 31901 4 32157 4 32413 4 32669 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 6 38819 6 39073 10 39329 10 39583 12 39839 12 40093 14 40349 14 40605 12 40861 12 41119 10 41375 10 41631 8 41887 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47231 3 47749 4 48268 4 48787 4 49306 4 49825 5 50344 8 50863 8 51382 8 51399 7 51901 8 51917 9 52420 8 52436 12 52939 9 52954 13 53458 28 53977 30 54496 32 55015 32 55534 32 56053 32 56572 32 57091 32 57610 32 58129 32 58648 32 59167 34 59686 36 60205 36 60724 36 61243 36 61762 36 62281 36 62800 36 63319 35 63838 32 64357 32 64876 32 65395 32 65914 32 66433 32 66952 32 67471 32 67990 32 68509 35 69028 36 69547 36 70066 37 70585 39 71104 41 71623 41 72142 41 72661 43 73180 45 73699 45 74218 45 74737 47 74791 1 75256 49 75308 5 75775 60 76294 61 76813 64 77332 65 77851 65 78370 65 78889 65 79408 65 79927 65 80446 65 80968 62 81488 61 82007 64 82526 65 83045 65 83565 64 84086 62 84606 61 85125 61 85644 61 86163 61 86683 60 87204 58 87724 56 88243 54 88762 53 89281 53 89800 53 90319 53 90838 53 91357 53 91876 54 92395 56 92914 57 93433 57 93953 57 94475 57 94994 57 95513 57 96032 58 96551 61 97070 61 97589 61 98109 61 98631 61 99150 61 99669 61 100188 61 100707 61 101226 62 101745 65 102264 65 102783 65 103304 63 103825 61 104344 63 104863 65 105382 65 105901 65 106422 63 106943 61 107464 59 107985 57 108506 57 109027 57 109549 54 110070 52 110589 54 111108 56 111629 57 112150 56 112669 56 113188 56 113709 57 114230 56 114749 56 115268 57 115787 59 116306 60 116827 58 117348 56 117867 56 118386 56 118905 56 119424 57 119946 56 120466 57 120985 57 121504 57 122023 59 122542 61 123064 58 123584 57 124103 60 124622 61 125141 61 125215 2 125660 61 125732 5 126182 77 126702 77 127224 77 127744 77 128263 77 128783 76 129304 74 129824 73 130343 73 130863 71
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,90308 2 90826 4 91345 4 91864 4 92383 4 92903 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116777 2 117295 4 117814 4 118333 4 118852 4 119371 4 119890 4 120409 4 120928 4 121447 4 121966 7 122485 8 123004 8 123523 8 124042 8 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 8 128713 8 129232 5 129752 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24420 5 24937 9 25454 13 25971 16 26488 18 27005 20 27522 22 28039 25 28558 27 29077 28 29594 28 30111 28 30630 28 31149 28 31668 28 32187 28 32706 28 33225 28 33744 26 34263 24 34785 21 35305 20 35824 17 36343 16 36862 13 37382 11 37903 6 38424 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,10 2 529 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117848 1 118365 5 118882 9 119399 13 119916 17 120433 21 120952 21 121471 21 121990 21 122509 21 123028 21 123547 21 124066 21 124585 21 125104 21 125623 21 126142 21 126661 21 127180 21 127700 20 128222 17 128741 16 129260 13 129780 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7316 7 7834 10 8350 15 8869 16 9388 16 9416 8 9907 17 9934 9 10426 20 10450 12 10943 23 10968 14 11460 44 11979 44 12498 44 13017 44 13536 44 14055 44 14574 44 15093 46 15612 48 16131 48 16650 48 17169 48 17688 24 17720 16 18207 22 18239 16 18726 20 18758 16 19246 19 19279 14 19768 16 19800 12 20287 16 20319 12 20806 16 20838 12 21325 14 21357 12 21844 12 21876 12 22363 12 22395 12 22882 12 22914 12 23403 8 23435 10 23924 4 23956 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28604 14 29122 16 29638 22 30156 24 30675 24 31193 25 31710 27 32228 28 32747 28 33266 28 33785 28 34304 28 34823 25 35342 24 35861 24 36380 24 36899 21 37418 20 37937 20 38456 19 38975 17 39494 16 40013 16 40532 15 41054 6 41574 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46266 11 46783 14 47299 20 47818 21 48337 24 48855 25 49371 28 49890 28 50409 28 50928 28 51447 28 51966 28 52485 28 53005 26 53527 21 54046 19 54565 16 55085 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63927 8 64444 12 64961 16 65480 16 65999 16 66518 18 67037 20 67554 22 68071 24 68590 24 69109 24 69628 24 70147 24 70666 24 71185 24 71704 24 72223 24 72742 24 73261 24 73780 24 74299 24 74821 21 75341 20 75860 20 76379 20 76898 18 77417 16 77936 16 78456 15 78977 13 79497 12 80016 9 80536 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,87 7 605 8 1124 8 1643 8 2162 8 2682 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,21945 8 22464 10 22983 12 23500 14 24017 16 24521 5 24536 18 25039 8 25055 20 25555 13 25574 20 26073 16 26093 20 26592 40 27111 40 27630 43 28149 44 28668 44 29187 44 29706 44 30225 44 30744 44 31263 44 31782 44 32301 44 32822 42 33343 40 33862 37 34381 36 34900 17 34927 9 35419 16 35447 8 35941 13 36461 12 36980 12 37499 12 38021 9 38541 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50478 12 50996 13 51512 16 52031 17 52550 20 53068 21 53584 24 54103 24 54622 24 55139 26 55656 28 56175 27 56694 24 57213 24 57732 24 58251 24 58770 24 59289 22 59808 20 60327 20 60846 20 61365 20 61884 20 62403 20 62922 20 63441 18 63960 16 64481 14 65002 12 65521 10 66040 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93547 7 94065 10 94581 15 95100 16 95619 16 96138 17 96657 20 97176 20 97695 20 98214 20 98733 20 99252 20 99771 20 100290 21 100809 24 101328 24 101847 24 102366 24 102885 24 103405 23 103927 20 104447 17 104969 12 105489 11 106011 8 106532 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,127 23 646 24 1165 24 1684 24 2203 24 2722 24 3241 24 3761 23 4282 21 4802 20 5321 20 5841 19 6362 17 6882 15 7401 12 7921 11 8442 9 8963 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112764 16 113281 20 113800 23 114319 24 114835 30 115353 32 115872 32 116391 32 116910 32 117429 32 117948 32 118467 32 118986 32 119505 32 120024 32 120543 32 121065 26 121585 24
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81148 3 81666 5 82182 11 82700 13 83219 16 83738 17 84254 20 84772 21 85291 21 85810 21 86329 21 86848 21 87367 21 87886 21 88405 21 88924 21 89443 21 89962 21 90470 32 90987 34 91504 36 92021 37 92538 36 93056 36 93575 33 94093 33 94609 33 95128 32 95647 32 96167 31 96689 28 97208 28 97727 28 98246 28 98765 28 99285 27 99807 24 100326 23 100845 21 101366 18 101887 16 102408 13
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,168 15 686 16 1205 16 1724 17 2243 20 2762 21 3281 21 3800 21 4319 21 4839 20 5361 17 5880 17 6399 17 6918 18 7437 20 7957 20 8479 17 8998 15 9517 13 10036 13 10555 13 11076 9 11597 5 12118 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57793 7 58310 11 58827 15 59344 18 59860 21 60379 22 60898 25 61417 25 61936 25 62455 25 62974 25 63493 25 64012 25 64531 23 65050 21 65569 19 66088 17 66607 14 67126 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89476 7 89994 10 90510 15 91029 17 91548 19 92067 20 92586 20 93105 21 93624 24 94143 24 94662 24 95181 24 95700 24 96219 24 96738 24 97257 25 97776 28 98295 28 98814 28 99334 27 99856 24 100375 24 100894 24 101413 23 101932 20 102452 19 102974 16 103493 16 104012 16 104532 13 105054 8 105575 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,36032 6 36550 8 37066 14 37584 16 38103 16 38622 17 39141 19 39659 21 40176 23 40694 24 41213 24 41732 24 42251 24 42770 24 43289 21 43808 20 44327 20 44846 20 45365 20 45884 19 46403 17 46923 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,64053 12 64572 12 65091 12 65610 14 66129 16 66646 18 67163 20 67682 20 68201 20 68720 20 69239 20 69758 20 70277 20 70796 20 71315 20 71834 20 72353 20 72872 20 73391 20 73910 20 74429 20 74948 20 75467 20 75986 20 76505 20 77024 20 77543 20 78062 20 78581 20 79100 20 79619 20 80138 17 80657 16 81179 13 81699 12 82218 12 82737 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,225 27 743 29 1262 32 1781 32 2300 32 2819 32 3338 32 3858 31 4380 28 4899 28 5418 28 5937 28 6456 28 6975 28 7494 28 8014 26 8536 21 9055 20 9574 20 10093 20 10612 20 11131 20 11650 20 12170 18 12692 13 13211 11 13730 8 14251 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113919 1 114436 5 114953 9 115470 13 115987 15 116504 17 117021 19 117538 21 118057 21 118576 21 119093 23 119610 25 120129 25 120648 25 121164 28 121682 29 122201 31 122720 33 123239 33 123758 33 124277 40 124796 41 125315 44 125834 45 126353 45 126872 45 127391 48 127910 49 128429 49 128949 48 129470 46 129991 44 130521 33 131041 31
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29825 9 30342 13 30861 19 31380 20 31899 20 32418 21 32937 23 33456 25 33975 25 34495 24 35016 22 35536 21 36055 21 36574 21 37093 21 37612 21 38131 21 38650 21 39169 21 39689 19 40211 13 40731 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,84331 3 84849 5 85365 11 85883 13 86399 19 86917 21 87436 24 87955 25 88474 25 88993 25 89512 28 90031 29 90550 29 91070 28 91592 25 92111 24 92630 21 93149 21 93668 21 94188 20 94710 17 95230 15
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,53722 11 54239 15 54756 19 55273 23 55790 28 56308 30 56827 33 57346 33 57865 33 58384 33 58903 33 59422 33 59941 33 60460 33 60979 33 61498 33 62017 33 62538 31 63059 29 63579 28 64098 28 64618 25 65140 20 65665 8 66186 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24684 12 25201 16 25718 20 26235 24 26754 24 27273 24 27789 30 28307 32 28826 32 29345 32 29864 32 30383 32 30902 32 31421 32 31940 29 32459 28 32978 28 33497 28 34016 28 34535 28 35054 28 35573 28 36095 22 36615 20 37134 17 37653 16 38175 10 38695 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,80216 10 80734 12 81253 15 81771 18 82288 22 82806 24 83325 24 83844 25 84363 27 84882 28 85401 28 85920 28 86442 25 86962 24 87481 24 88000 24 88519 24 89039 22 89560 18 90081 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113968 9 114485 12 115004 15 115523 16 116040 18 116557 20 117076 23 117595 24 118114 24 118633 25 119152 27 119671 28 120190 28 120709 28 121228 28 121747 28 122266 28 122785 28 123307 25 123827 24 124349 21 124870 19 125391 17 125912 15 126433 10 126954 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,128507 7 129025 9 129541 15 130059 16 130578 16 131098 15
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,334 3 852 5 1364 19 1882 21 2398 24 2916 25 3435 28 3954 29 4473 29 4992 29 5511 29 6030 29 6549 29 7068 29 7587 29 8106 28 8625 25 9145 24 9667 21 10186 21 10705 21 11224 21 11743 21 12261 22 12778 24 13296 25 13815 25 14334 26 14853 29 15372 29 15891 29 16410 29 16929 29 17448 29 17967 29 18486 29 19005 29 19524 29 20043 29 20562 29 21081 29 21600 27 22119 25 22640 23 23161 21 23680 21 24199 21 24721 15 25242 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,71961 9 72478 13 72995 17 73512 21 74029 23 74546 25 75065 25 75584 25 76101 27 76618 29 77137 29 77656 29 78172 32 78690 33 79209 33 79728 33 80247 33 80766 33 81285 33 81804 32 82323 30 82842 29 83361 29 83880 28 84399 25 84919 23 85441 17 85960 16 86479 13 86999 11
