ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45105 8 45361 8 45613 14 45869 14 46125 14 46381 14 46637 12 46893 12 47151 6 47407 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50535 8 50789 12 51045 12 51299 14 51555 14 51809 16 52065 16 52321 16 52577 16 52833 14 53089 14 53347 10 53603 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11149 4 11401 10 11657 10 11911 12 12167 12 12423 12 12679 12 12933 12 13189 12 13445 12 13701 12 13959 6 14215 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31885 12 32141 12 32393 16 32649 16 32905 16 33161 16 33415 18 33671 18 33927 18 34183 18 34439 14 34695 14 34953 10 35209 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51099 2 51351 8 51607 8 51861 10 52117 10 52371 12 52627 12 52881 12 53137 12 53393 10 53649 10 53905 8 54161 8 54419 4 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31389 4 31645 4 31901 4 32157 4 32413 4 32669 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 4 38821 4 39075 6 39331 6 39583 12 39839 12 40093 12 40349 12 40605 12 40861 12 41119 10 41375 10 41631 8 41887 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47231 3 47749 4 48268 4 48787 4 49306 4 49825 4 50344 4 50365 3 50863 5 50882 5 51382 8 51399 7 51901 8 51917 9 52420 8 52436 12 52939 9 52954 13 53458 28 53977 28 54496 28 55015 30 55534 32 56053 32 56572 32 57091 32 57610 32 58129 32 58648 32 59167 32 59686 32 60205 32 60724 32 61243 32 61762 32 62281 32 62800 32 63319 32 63838 32 64357 31 64876 28 65395 28 65914 28 66433 31 66952 32 67471 32 67990 32 68509 32 69028 33 69547 35 70066 36 70585 36 71104 37 71626 36 72146 37 72668 34 73188 33 73707 35 74226 37 74748 34 75268 33 75776 2 75787 33 75829 6 76294 4 76306 33 76347 8 76813 45 76866 11 77332 45 77385 12 77851 45 77904 12 78370 45 78422 13 78889 65 79408 65 79930 62 80450 61 80969 61 81488 61 82007 61 82527 60 83048 58 83568 57 84087 57 84607 56 85128 54 85648 53 86167 53 86686 52 87205 49 87724 49 88243 49 88762 49 89281 49 89800 50 90319 52 90838 53 91357 53 91876 53 92395 53 92915 52 93437 49 93956 50 94475 53 94994 53 95513 53 96033 53 96555 53 97074 53 97593 53 98112 54 98631 57 99152 54 99673 49 100192 50 100711 53 101230 53 101749 53 102268 55 102787 57 103306 57 103825 57 104346 55 104867 53 105388 51 105909 49 106428 51 106947 53 107468 53 107989 53 108510 51 109032 48 109553 48 110074 48 110593 48 111112 48 111631 50 112150 52 112671 50 113192 48 113711 51 114230 52 114749 52 115268 53 115789 53 116310 52 116829 52 117348 52 117867 52 118386 53 118907 53 119428 52 119947 52 120466 53 120985 55 121504 57 122026 54 122546 53 123065 56 123584 57 124103 57 124622 57 125148 53 125668 53 126190 50 126249 10 126710 49 126766 13 127229 72 127748 73 128267 73 128787 72 129308 70 129828 69 130347 69 130867 67
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117815 2 118333 4 118852 4 119371 4 119890 4 120409 4 120928 4 121447 4 121966 4 122485 4 123004 7 123523 8 124042 8 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 8 128194 8 128713 8 129232 5 129752 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25454 9 25971 13 26488 17 27005 20 27522 22 28039 24 28558 24 29077 24 29596 24 30115 24 30634 24 31153 24 31672 24 32191 24 32710 24 33229 24 33748 22 34267 20 34786 20 35305 20 35824 17 36343 16 36862 13 37382 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118882 9 119399 13 119916 17 120433 21 120952 21 121471 21 121990 21 122509 21 123028 21 123547 21 124066 21 124585 21 125104 21 125623 21 126142 21 126661 21 127180 21 127700 20 128222 17 128741 16 129260 13 129780 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7316 7 7834 10 8350 15 8869 16 9388 16 9416 8 9907 17 9934 9 10426 20 10450 12 10945 21 10968 14 11464 40 11983 40 12502 40 13021 40 13540 40 14059 40 14578 40 15097 40 15616 20 15640 16 16135 20 16159 16 16654 20 16678 16 17173 18 17199 16 17692 16 17720 16 18211 16 18239 16 18730 16 18758 16 19249 16 19279 14 19768 16 19800 12 20287 14 20319 12 20806 12 20838 12 21325 12 21357 12 21844 12 21876 12 22365 10 22395 12 22886 8 22914 12 23435 8 23956 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28608 10 29126 12 29642 18 30160 20 30676 23 31194 24 31713 24 32231 25 32748 27 33266 28 33785 25 34304 24 34823 24 35342 24 35861 21 36380 20 36899 20 37418 19 37937 17 38456 16 38975 16 39494 15 40013 13 40532 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46270 3 46787 6 47299 20 47818 21 48337 24 48856 24 49375 24 49894 24 50413 24 50932 24 51451 24 51970 23 52489 21 53008 20 53527 20 54046 19 54565 12 55085 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63927 8 64446 10 64965 12 65482 14 65999 16 66518 16 67037 16 67556 16 68075 16 68592 21 69109 24 69628 24 70147 24 70666 24 71185 24 71704 24 72223 24 72745 21 73265 20 73784 20 74303 20 74822 20 75341 20 75860 18 76379 16 76898 16 77417 16 77936 16 78456 15 78977 10 79497 8 80016 8 80536 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,87 7 605 8 1124 8 1644 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,21949 4 22466 8 22983 12 23500 16 24017 20 24521 5 24536 20 25039 8 25055 20 25558 8 25574 20 26077 8 26093 20 26593 39 27111 40 27630 43 28149 44 28668 44 29187 44 29706 44 30225 44 30744 44 31263 44 31782 44 32301 44 32822 42 33343 40 33862 21 33885 14 34381 20 34405 12 34900 17 34927 9 35419 16 35447 8 35941 13 36461 12 36980 12 37499 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50478 7 50996 10 51512 16 52031 16 52550 16 53068 17 53584 20 54103 20 54622 20 55141 20 55660 20 56179 20 56698 20 57215 22 57732 24 58251 23 58770 20 59289 20 59808 20 60327 20 60846 20 61365 20 61884 20 62403 18 62922 16 63442 15 63964 12 64483 12 65002 12 65521 10 66040 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93547 7 94065 10 94581 15 95100 16 95619 16 96138 16 96657 16 97176 17 97695 20 98214 20 98733 20 99252 20 99771 20 100290 21 100809 24 101329 23 101851 20 102370 20 102889 20 103408 18 103927 16 104447 15 104969 12 105489 11 106011 8 106532 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,127 23 646 24 1165 24 1684 24 2203 24 2722 24 3244 21 3764 20 4283 20 4802 20 5321 20 5841 19 6362 17 6883 14 7404 9 7925 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112768 12 113285 16 113802 21 114319 24 114838 27 115357 28 115873 31 116391 32 116910 32 117429 32 117948 32 118467 32 118986 32 119505 32 120027 26 120547 24 121066 24 121585 24
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,82182 11 82700 13 83219 16 83738 17 84257 17 84776 17 85295 17 85814 17 86333 17 86852 17 87371 17 87890 17 88409 17 88928 17 89444 20 89962 21 90470 32 90987 34 91504 36 92021 37 92538 36 93056 36 93575 33 94094 32 94613 29 95132 28 95651 28 96170 28 96689 28 97208 28 97727 28 98246 28 98765 28 99285 27 99807 24 100326 23 100845 21 101366 17 101887 13 102408 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,168 15 686 16 1205 16 1724 16 2243 16 2762 17 3281 20 3800 21 4319 21 4839 20 5361 17 5880 17 6399 20 6918 21 7437 21 7957 20 8479 17 8998 17 9517 17 10036 15 10555 13 11076 9 11597 5 12118 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57793 3 58310 7 58827 15 59344 18 59860 21 60379 22 60898 25 61417 25 61936 25 62455 25 62974 25 63493 23 64012 21 64531 21 65050 21 65569 19 66088 17 66607 14 67126 12
